id,kind,sha,created,license,params,base_model,tier,relation,parent,decision_contract_evidence,note
shreyanbr/system-one-distilled,model,56c9dba8932dbb40c5cb866e413ad5a94b63c30d,2026-09-19T20:31:33.000Z,apache-2.0,70830722,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,T1,,,:   - text-classification   - calibration   - routing ---  # System,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
shreyanbr/system-one-gold,model,93e22fcfd7fd248860e9a93f5df7898d163805cb,2026-09-19T20:33:34.000Z,apache-2.0,70830722,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,T1,,,:   - text-classification   - calibration   - routing ---  # System,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
onnx-community/system-one-qwen3.5-4b-scorer-ONNX,model,e54cb2a5f6600c15e9f93d2b041aab14482c7c54,2026-09-20T06:24:36.000Z,cc-by-nc-4.0,,Qwen/Qwen3.5-4B-Base,T2,format_conversion,Qwen/Qwen3.5-4B-Base,--  ## Original model card  # System One scorer — Qwen/Qwen3.5-4B-Base,format_conversion of base_model Qwen/Qwen3.5-4B-Base (chained by name pattern + base_model field)
gopalanj/jevons-lfm25-1.2b-systemone,model,db4e1158c4ac894446692ecafb4b4644d9ddf403,2026-09-20T15:45:15.000Z,other,,LiquidAI/LFM2.5-1.2B-Instruct,T2,format_conversion,LiquidAI/LFM2.5-1.2B-Instruct,com/gopalanj/jevons): a local System One server that scores allowed ou,format_conversion of base_model LiquidAI/LFM2.5-1.2B-Instruct (chained by name pattern + base_model field)
kaivoss/system-one-270m,model,a9572e32bbd8b79c03add60d708e505667ff4c9a,2026-09-21T22:53:13.000Z,gemma,268098176,unsloth/gemma-3-270m-it,T1,,,one    - typed-decisions    - calibration    - synthetic-data  ---,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
einsteiner1983/nemotron-3.5-lightning-systemone-lora-r16,model,146862e24fb92c0d54b1b5c98cdd828a36aae165,2026-09-22T02:30:38.000Z,,,,X,,,-  # Nemotron 3.5 Lightning — System One rank-16 LoRA  Experimental cl,"card states no weights / no own training (an inference recipe over another model, not a trained decision head)"
olafura/gemma4-12b-system-one,model,a12364830d7e2eefe7cee449b74d5f914f4594a8,2026-09-22T08:59:05.000Z,apache-2.0,,google/gemma-4-12B-it-qat-w4a16-ct,T1,,,"pt - it - nl - ko - zh ---  # System One for Gemma 4 12B: answer now,","own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
shreyanbr/nev-lite-systemone,model,11f68b4a3e1b6d0bf3ae73a74a1096cf3240cf7f,2026-09-22T13:47:53.000Z,apache-2.0,,sentence-transformers/all-MiniLM-L6-v2,T1,,,"* is the static, no-attention decision head of the [nev / System One](htt","own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
mpuig/system-one-qwen3-0.6b,model,1d1491933a78f0b09f76bad493ef150e666100d1,2026-09-22T15:46:27.000Z,mit,,Qwen/Qwen3-0.6B,T2,format_conversion,Qwen/Qwen3-0.6B,"3-0.6B tags: [decision-model, calibration, system-one, mlx, lora] --",format_conversion of base_model Qwen/Qwen3-0.6B (chained by name pattern + base_model field)
mpuig/system-one-minicpm5-2b-q8,model,44736c7084bf79a9f9a18c3a4a88840e7846c223,2026-09-22T15:46:42.000Z,mit,2516756480,openbmb/MiniCPM5-2B-Base,T2,format_conversion,openbmb/MiniCPM5-2B-Base,"B-Base tags: [decision-model, calibration, system-one, mlx, quantize",format_conversion of base_model openbmb/MiniCPM5-2B-Base (chained by name pattern + base_model field)
mlboydaisuke/OpenThai-SystemOne-CoreAI,model,825e5d7b77f4f297bc21ea9a8a9e092a52e09e1e,2026-09-22T20:41:25.000Z,apache-2.0,,iapp/OpenThai-SystemOne,T2,format_conversion,iapp/OpenThai-SystemOne,0.8B-Base  A **Thai + English System One decision model**: it reads a,format_conversion of base_model iapp/OpenThai-SystemOne (chained by name pattern + base_model field)
FluidInference/system-one-gemma-coreml,model,2da07dc3e8544b24e9a951d2554503a64203dd03,2026-09-22T21:24:33.000Z,,,,X,,,-toolkit - gated-model ---  # System One Gemma Core ML conversion tool,"card states no weights / no own training (an inference recipe over another model, not a trained decision head)"
mlboydaisuke/system-one-qwen3.5-4b-scorer-CoreAI,model,a81514192af5849d14fb25a423af91babeba54ae,2026-09-23T01:36:36.000Z,cc-by-nc-4.0,,pngwn/system-one-qwen3.5-4b-scorer,T2,format_conversion,pngwn/system-one-qwen3.5-4b-scorer,odel - system-one - qwen3.5 - calibration - sequence-classification,format_conversion of base_model pngwn/system-one-qwen3.5-4b-scorer (chained by name pattern + base_model field)
altslate/certo-decision-model,model,7628c0da918c5fce96a6629c548630ac6bed8c58,2026-09-20T15:28:45.000Z,mit,,,T1,,,ion tags: - decision-making - calibration - certo - modernbert ---,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
jaswanthsanjay88/rev-decision-model,model,b7d8eb7f7feede28c720d88fe022df71fd0a02e9,2026-09-22T08:17:44.000Z,apache-2.0,421293827,,T1,,,ressive - rlcd - modernbert - calibrated-probabilities - reinforceme,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
mghafiri/qwen3.5-0.8B-decision-model,model,4a9939034a27006b4b62ad5aed65a90b82d0d350,2026-09-22T12:57:13.000Z,apache-2.0,752393024,Qwen/Qwen3.5-0.8B-Base,T1,,,tion tags: - decision-model - calibration - system-one - classificat,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
saivamshiatukuri/decision-model-checkpoints,model,ce6774b4cf8306e0b9b7e1d688e6838ac09bf940,2026-09-19T14:21:39.000Z,,,,X,,,none found,empty or missing card
Pdbz199/local-decision-model,model,4b3077cb2d6ced3eadeb5ea0d4846e9d311bfc6b,2026-09-21T16:42:57.000Z,cc-by-nc-4.0,,answerdotai/ModernBERT-base,T1,,,"decision-model  A small, fast decision model: **unstructured state in, typ","own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
convaiinnovations/laya-typed-decisions,model,1a793eb568e6718f15941d08f85432581df534e3,2026-09-18T17:45:14.000Z,apache-2.0,421293830,,T2,other,convaiinnovations/laya,"[en] tags: [laya, system-one, calibrated-decisions, rlcd, typed-deci",name/base_model references laya
aac6fef/laya-typed-decisions-mlx,model,f9e501c2080cc57c13d6887820329758f5351125,2026-09-19T14:11:33.000Z,apache-2.0,421293830,convaiinnovations/laya-typed-decisions,T2,format_conversion,convaiinnovations/laya-typed-decisions,"ordinal `score`, and boolean `noul` questions. All model computa",format_conversion of base_model convaiinnovations/laya-typed-decisions (chained by name pattern + base_model field)
alfred361/laya-multilingual-typed-decisions,model,60ce5be491a7723df937b757e43b254a08898f8e,2026-09-21T12:47:57.000Z,apache-2.0,321908998,convaiinnovations/laya-multilingual,T2,finetune_domain,convaiinnovations/laya-multilingual,"system-one, typed-decisions, calibrated-decisions, multilingual]  -",name/base_model references laya
mys/laya-typed-decisions-GGUF,model,1e9e8ba1f5271316601e0fefd940786660bd6964,2026-09-20T16:16:06.000Z,apache-2.0,,convaiinnovations/laya-typed-decisions,T2,format_conversion,convaiinnovations/laya-typed-decisions,GGUF (ggmlc)    **Specialist System 1 decision model** compiled fro,format_conversion of base_model convaiinnovations/laya-typed-decisions (chained by name pattern + base_model field)
pngwn/nanodiff-350m-typed-decisions,model,29b63241fb3c80fb2055487a17645a1a3d748c20,2026-09-16T13:58:26.000Z,mit,,,X,,,asked-diffusion   - llada   - calibration   - typed-decisions ---  #,decision-contract language present but no own-training evidence found by rule; needs manual read
alfred361/laya-typed-decisions-web-q8,model,96f637c0bee046dce5c61a3174de9f7cdcf09ace,2026-09-21T08:14:31.000Z,,,,X,,,none found,empty or missing card
akshatbindal/laya-typed-decisions,model,fea3307fbd5be9937648f9acd22ea612c61fbd83,2026-09-22T06:39:38.000Z,apache-2.0,421293830,,T2,other,convaiinnovations/laya,s tags: - laya - system-one - calibrated-decisions - rlcd - structur,name/base_model references laya
pngwn/nanodiff-350m-typed-decisions-smoke,model,0c592a131a0fea9c7c14a4c0ad3b1a211586703f,2026-09-16T14:19:29.000Z,,,,X,,,none found,empty or missing card
pngwn/nanodiff-350m-typed-decisions-lam0,model,789d41bd17816f4fa945f2a7ab5bae7987ab4ad6,2026-09-16T14:33:26.000Z,mit,,Sebasdi/nanodiff-350m-base,X,,,asked-diffusion   - llada   - calibration   - typed-decisions base_m,decision-contract language present but no own-training evidence found by rule; needs manual read
pngwn/nanodiff-350m-typed-decisions-lam1,model,f36697e639d7cb3c5b97c8c2a8e902b79265420f,2026-09-16T15:07:32.000Z,mit,,Sebasdi/nanodiff-350m-base,T1,,,asked-diffusion   - llada   - calibration   - typed-decisions base_m,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
pngwn/typed-decisions-causal-0.6b-scorer,model,64aa77cf66c7f07ae6b61d750dfb8192d9724ff7,2026-09-16T21:41:14.000Z,,,,X,,,none found,no decision-contract evidence found in card
pngwn/nanodiff-350m-typed-decisions-v2-lam1,model,d29b8d9b3cbcb704f7224cbec7ccf7485399a8f6,2026-09-16T21:41:14.000Z,,,,X,,,none found,empty or missing card
pngwn/nanodiff-350m-typed-decisions-v2,model,b93c12750d3e47806282074bbb4ec4967fa7c50f,2026-09-16T23:33:07.000Z,,,,X,,,none found,empty or missing card
aac6fef/laya-typed-decisions-coreml,model,28d24fa8d67a3264556b23391ec6c3fd98573056,2026-09-20T03:23:57.000Z,apache-2.0,,convaiinnovations/laya-typed-decisions,T2,format_conversion,convaiinnovations/laya-typed-decisions,"yped-decisions-coreml  **Laya typed decisions on Apple Silicon, using CPU",format_conversion of base_model convaiinnovations/laya-typed-decisions (chained by name pattern + base_model field)
fr0stbit3/laya-typed-decisions-gguf,model,54ec2dbb58aad9e3c74782cb2feb5801f72b13d0,2026-09-20T18:26:17.000Z,apache-2.0,,convaiinnovations/laya-typed-decisions,T2,format_conversion,convaiinnovations/laya-typed-decisions,"llama.cpp, laya, system-one, calibrated-decisions, rlcd, typed-deci",format_conversion of base_model convaiinnovations/laya-typed-decisions (chained by name pattern + base_model field)
binoykunhi/laya-typed-decisions-endpoint,model,fbefb2d175df7314582b29c4e3168c5a1c5f0b7e,2026-09-21T12:31:10.000Z,apache-2.0,421293830,,T2,other,convaiinnovations/laya,"[en] tags: [laya, system-one, calibrated-decisions, rlcd, typed-deci",name/base_model references laya
Cruzex/laya-typed-decisions-smoketest,model,a3d15d7b009e29332e3452866b9c2774bf99b0b6,2026-09-21T17:45:52.000Z,apache-2.0,421293830,,T2,other,convaiinnovations/laya,s tags: - laya - system-one - calibrated-decisions - rlcd - structur,name/base_model references laya
abidlabs/jev-typed-decisions-causal-0.6b,model,440a8931d8db317855a6ff3ad519bd3b19a3a22f,2026-09-21T18:22:20.000Z,apache-2.0,,Qwen/Qwen3-0.6B-Base,T1,,,)  ## Observed results  Final calibration-split eval (n=640 decision,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
abidlabs/jev-typed-decisions-causal-0.6b-smoke,model,8f3ce099e101951db61e14c633277c688cb4d252,2026-09-21T18:24:22.000Z,,,,X,,,none found,no decision-contract evidence found in card
agk4444/laya-typed-decisions,model,dfebdeee687342a8cd5a2c04a58cb493c38f8328,2026-09-21T23:27:48.000Z,apache-2.0,421293830,,T2,other,convaiinnovations/laya,s tags: - laya - system-one - calibrated-decisions - rlcd - structur,name/base_model references laya
liskasYR/laya-typed-decisions,model,12522a05c214ce848b80d1cf1516c9f8c6fb6ff1,2026-09-22T02:16:01.000Z,apache-2.0,421293830,,T2,other,convaiinnovations/laya,"[en] tags: [laya, system-one, calibrated-decisions, rlcd, typed-deci",name/base_model references laya
IJyad/jeb-typed-decisions,model,c7f8f7d3809411bad6fb5425a4bce1ed9b838467,2026-09-22T09:22:57.000Z,apache-2.0,177609985,IJyad/jeb,T1,,,ed-decisions  - system-one  - calibrated-decisions  - classification,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
m1rhan/laya-typed-decisions-ONNX,model,7388ca40228f08fd72fb3d2fdbd29153e9bc63d4,2026-09-22T11:00:11.000Z,apache-2.0,,convaiinnovations/laya,T2,format_conversion,convaiinnovations/laya,"M params) with a small custom decision head, tuned specifically for typed",format_conversion of base_model convaiinnovations/laya (chained by name pattern + base_model field)
Ankit1106/laya-typed-decisions,model,66172d2dfdd5d5c31f0aa5cc999ed2cf2f4b78a2,2026-09-22T11:35:40.000Z,apache-2.0,421293830,,T2,other,convaiinnovations/laya,core --- # Laya fine-tuned on Typed Decisions  This derivative checkpoint,name/base_model references laya
yehor-oleksiuk/laya-typed-decisions-onnx,model,d46a1217068e09c211ec3f098fb2932f750d903e,2026-09-22T18:56:04.000Z,apache-2.0,,convaiinnovations/laya-typed-decisions,T2,format_conversion,convaiinnovations/laya-typed-decisions,"system-one, typed-decisions, calibration] ---  # Laya Typed Decisio",format_conversion of base_model convaiinnovations/laya-typed-decisions (chained by name pattern + base_model field)
SGK86/laya-multilingual-typed-decisions,model,8fc29deeba77c74004756dfd64217287b1e52e47,2026-09-22T22:01:33.000Z,apache-2.0,321908998,,T2,finetune_domain,convaiinnovations/laya,"m-one, rlcd, typed-decisions, calibrated-decisions] --- # Laya-multi",name/base_model references laya
ti3x-m/laya-typed-decisions-onnx,model,d562cfa57474bf409fee22218611c577ee0cdc0c,2026-09-23T00:50:46.000Z,apache-2.0,,convaiinnovations/laya-typed-decisions,T2,format_conversion,convaiinnovations/laya-typed-decisions,"argmax agreement 100.0%, max calibrated probability error 0.016499,",format_conversion of base_model convaiinnovations/laya-typed-decisions (chained by name pattern + base_model field)
rayss868123/laya-typed-decisions,model,9b48a64847f55ed79cb94d23668792b00557e20f,2026-09-23T01:38:39.000Z,apache-2.0,421293830,,T2,other,convaiinnovations/laya,"[en] tags: [laya, system-one, calibrated-decisions, rlcd, typed-deci",name/base_model references laya
huanggengwei/laya-typed-decisions,model,14cc9a5e4e3c3c3d6ccbb0cbdb7848d40dfdc977,2026-09-23T09:19:25.000Z,apache-2.0,421293830,,T2,other,convaiinnovations/laya,s tags: - laya - system-one - calibrated-decisions - rlcd - structur,name/base_model references laya
sahilchachra/Laya-TypedDecisions-MXFP4,model,5e844c952237de52802dc0fe0e0dc7cd9c05898e,2026-09-23T12:13:26.000Z,,394781696,convaiinnovations/laya,T2,format_conversion,convaiinnovations/laya,) plus a small **from-scratch decision head** (a 2-layer `torch.nn.Transf,format_conversion of base_model convaiinnovations/laya (chained by name pattern + base_model field)
sahilchachra/Laya-TypedDecisions-MXFP8,model,b4985863fdbcd8bd040b20b1af31ebfa861badfa,2026-09-23T12:14:09.000Z,,394781696,convaiinnovations/laya,T2,format_conversion,convaiinnovations/laya,) plus a small **from-scratch decision head** (a 2-layer `torch.nn.Transf,format_conversion of base_model convaiinnovations/laya (chained by name pattern + base_model field)
strivedi183/laya-typed-decisions-onnx-fp16,model,1a62306a69ce878f04559dc19f5fc629d7571a03,2026-09-23T12:43:01.000Z,apache-2.0,,,X,,,none found,empty or missing card
canbingol/laya-typed-decisions-turkish-mmlu-10k,model,9c4b31347c8de263fb4d821a1197ed962ac98e10,2026-09-24T07:12:01.000Z,apache-2.0,421293830,,T2,finetune_language,convaiinnovations/laya,s tags: - laya - system-one - calibrated-decisions - rlcd - structur,name/base_model references laya
AIMultiple/laya-typed-decisions-browser-ft,model,e15214b809a135d2fe71504f66af1b96d7238a89,2026-09-24T09:25:40.000Z,apache-2.0,421293830,convaiinnovations/laya,T2,other,convaiinnovations/laya,wser-agent decisions for the [decision models benchmark](https://aimultipl,name/base_model references laya
canbingol/magibuembed-typed-decisions-turkish-mmlu-10k,model,6877b6a9a67ccb789ea0ff49b3262c05164d60e5,2026-09-24T13:32:06.000Z,,217168901,,X,,,none found,empty or missing card
akhilaaa3/Jev-Omni,model,c050d51354147985d13286cf4acf90f562f2c631,2026-09-20T21:43:20.000Z,apache-2.0,,google/gemma-4-12B-it,T1,,,t rights remain separate.  ## Calibration  Medium ECE: **0.0400** (1,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
com-kotobalabs/open-jev-deberta-v3-large,model,19bf9a64815add579fbf6c907bef584d9277a8e4,2026-09-18T10:01:35.000Z,apache-2.0,434012160,microsoft/deberta-v3-large,T1,,,ers tags: - typed-decisions - calibrated - decision-model - open-jev,named T1 (own recipe/decision head; see card)
Meanblock/JEV-CPU,model,759fa60603a0e312cda38824e63e58f18445c14a,2026-09-19T11:00:19.000Z,mit,,Qwen/Qwen3-0.6B,X,,,"r endorsed by SemIf's author, TypeSafe, or Jev. Jev, TypeSafe, and o",decision-contract language present but no own-training evidence found by rule; needs manual read
ZefanCai/Open-Jev-9B,model,47e966881e489511c0c7f5633a9e1960a676a551,2026-09-20T20:13:31.000Z,apache-2.0,,Qwen/Qwen3.5-9B,T1,,,ained LoRA adapter and scalar decision head for Qwen/Qwen3.5-9B.** This r,named T1 (own recipe/decision head; see card)
aimeigaoshou/agent-jev,model,e711cf4be8d1009458d2254f60df21738db8c6c0,2026-09-21T17:03:51.000Z,apache-2.0,598418689,,T1,,,"Use it  The serving path is a typed decision, not a chat completion. Send","own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
argos1111/modernbert-ja-310m-jev,model,07cda23579443e7a33c0f474114279fa032340d6,2026-09-19T16:35:01.000Z,cc-by-sa-4.0,315203329,sbintuitions/modernbert-ja-310m,T1,,,x すると Choice（選択肢）・Score（段階評価）・Noul（真偽）の確率になります。  **TypeSafe の Je,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
samatv256/mini-Jev,model,02acc03cc28ec0b99705a8459ea987274fa7987f,2026-09-21T00:18:46.000Z,apache-2.0,262657,Qwen/Qwen3-0.6B,T1,,,"ini-Jev  **A Qwen3-0.6B-based decision model for tool selection, routing,","own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
ZefanCai/Open-Jev-2B,model,0c7aa498b1627be8da4acf34c863ff0ee0a92785,2026-09-20T20:13:22.000Z,apache-2.0,,Qwen/Qwen3.5-2B,T1,,,ained LoRA adapter and scalar decision head for Qwen/Qwen3.5-2B.** This r,named T1 (own recipe/decision head; see card)
chaoliangUNSW/Jev-Style-Qwen3.5-2B-Decision-GGUF,model,4812fc2c3c6a6c0f2556c64b78db92c54dcc08c7,2026-09-21T08:39:50.000Z,apache-2.0,,Qwen/Qwen3.5-2B-Base,T2,format_conversion,Qwen/Qwen3.5-2B-Base,system-one - decision-model - calibration - classification - qwen3.5,format_conversion of base_model Qwen/Qwen3.5-2B-Base (chained by name pattern + base_model field)
alibiserikbay/JevK5,model,27d2d6b8d4714807f6293b0623bd7370b27e42f8,2026-09-22T13:53:01.000Z,apache-2.0,4205751296,Qwen/Qwen3.5-4B,T1,,,ns - self-hosted - jevbench - calibration - distillation ---  # JevK,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
mobarmg/jev-schema-scorer-deberta-v3-large,model,ee092c35cc4ba0bd81be06a351b8788a47668d8c,2026-09-17T19:32:33.000Z,mit,435062785,microsoft/deberta-v3-large,T1,,,"ption id + probabilities | | `noul` | optional `criteria: {""true","own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
ZefanCai/Open-Jev-27B-v1.1,model,28cf73067d5b337860bbef3c85b8b82ba8730956,2026-09-22T23:59:18.000Z,apache-2.0,,Qwen/Qwen3.8-27B,T1,,,ained LoRA adapter and scalar decision head for the text backbone of Qwen,named T1 (own recipe/decision head; see card)
TokenRhythm/NeoHorse-Jev-4B,model,ce1736d784b1ddbef5be9098e9ca4070c10d3df7,2026-09-23T15:42:08.000Z,apache-2.0,,TokenRhythm/NeoHorse-1-4B,T1,,,"e-Jev-4B**, a **4B structured decision model** from TokenRhythm, built on","own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
lewislululu/jevon,model,97f78c9afc6fc949f5714d5ede85c6c66bf911ff,2026-09-19T19:56:46.000Z,agpl-3.0,,,T1,,,---  # Jevon  A 20M-parameter decision model that answers **typed question,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
vagmi/jev-lite,model,90b23bc26c53f5a897684456893b2b7edeb90297,2026-09-19T23:46:53.000Z,gemma,,google/gemma-4-E4B-it,T1,,,tags:   - lora   - qlora   - calibration   - decision-model   - sys,named T1 (own recipe/decision head; see card)
chaoliangUNSW/Jev-Style-Qwen3.5-2B-Decision-v2-GGUF,model,e9a1bbe81f216cb606893412690c26f42cd67c6f,2026-09-23T16:17:49.000Z,apache-2.0,,chaoliangUNSW/Jev-Style-Qwen3.5-2B-Decision-v2,T2,format_conversion,chaoliangUNSW/Jev-Style-Qwen3.5-2B-Decision-v2,sion-model - classification - calibration - qwen3.5 - jev-style - si,format_conversion of base_model chaoliangUNSW/Jev-Style-Qwen3.5-2B-Decision-v2 (chained by name pattern + base_model field)
lostargon/Tiny-Jev,model,606fe02c81944714f7934fdeb95b8b8982a8b98c,2026-09-21T20:53:47.000Z,apache-2.0,595778561,Qwen/Qwen3-0.6B,T1,,,en-jev   - decision-model   - calibrated   - routing   - classificat,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
Reza2kn/Jev-Omni-Q4_K_M-GGUF,model,0991aeb7a12d2dfee7ebfb07f463aab37405a86a,2026-09-23T21:58:00.000Z,apache-2.0,,akhilaaa3/Jev-Omni,T2,format_conversion,akhilaaa3/Jev-Omni,"38 MiB, and the required FP32 decision head adds 3.78 MiB.  | Stallion se",format_conversion of base_model akhilaaa3/Jev-Omni (chained by name pattern + base_model field)
chaoliangUNSW/Jev-Style-Qwen3.5-2B-Decision-MLX-bf16,model,49864b7c44800b8abbaf88c70883604fc351456d,2026-09-21T08:38:27.000Z,apache-2.0,1881825088,Qwen/Qwen3.5-2B-Base,T2,format_conversion,Qwen/Qwen3.5-2B-Base,system-one - decision-model - calibration - classification - qwen3.5,format_conversion of base_model Qwen/Qwen3.5-2B-Base (chained by name pattern + base_model field)
NicolaiMTLassen/bonzi-1.7b-v1-jev,model,48148bf9adb90f3fff2915c3c28704504dafe69b,2026-09-20T09:15:07.000Z,mit,,prism-ml/Bonsai-1.7B-gguf,T2,format_conversion,prism-ml/Bonsai-1.7B-gguf,age-inference           name: Typed decision (3-way NLI)         dataset:,format_conversion of base_model prism-ml/Bonsai-1.7B-gguf (chained by name pattern + base_model field)
NicolaiMTLassen/bonzi-27b-v2-jev,model,c4d21b740f3b940031baf88d775fb91905b11821,2026-09-20T09:15:09.000Z,mit,,prism-ml/Ternary-Bonsai-2-27B-gguf,T2,format_conversion,prism-ml/Ternary-Bonsai-2-27B-gguf,age-inference           name: Typed decision (3-way NLI)         dataset:,format_conversion of base_model prism-ml/Ternary-Bonsai-2-27B-gguf (chained by name pattern + base_model field)
kushalpatil/jevify-gemma4-26b-a4b,model,d4c0d1d455892957d274f68ec64e9fc0881011c8,2026-09-20T10:23:12.000Z,gemma,25805933872,google/gemma-4-26B-A4B-it,X,,,"ags: [jevify, classification, calibration, probabilistic, gemma4, lo",decision-contract language present but no own-training evidence found by rule; needs manual read
mradermacher/jevify-gemma4-e4b-GGUF,model,3989b4b1ab88f8ebb4414cafb504bd4f686bcb2b,2026-09-20T17:04:35.000Z,gemma,,kushalpatil/jevify-gemma4-e4b,T2,format_conversion,kushalpatil/jevify-gemma4-e4b,: - jevify - classification - calibration - probabilistic - gemma4 -,format_conversion of base_model kushalpatil/jevify-gemma4-e4b (chained by name pattern + base_model field)
azharmo/build-jev-from-scratch,model,7a361015bfb098c3845ae1befe756564624cfe96,2026-09-20T17:27:14.000Z,mit,,,T1,,,- decision-model   - jev   - noul   - calibration   - transform,"own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
mogita/jev-decider-qwen3-4b,model,d0bd762de3f25a348f0ed008803151a38c5d8da8,2026-09-21T19:26:53.000Z,apache-2.0,,Qwen/Qwen3-4B,T1,,,"ransaction-categorization   - calibration ---  # jev-decider, Qwen3-","own decision head/recipe evidence in card (LoRA/head/calibration trained), no lineage to a known T1 base_model"
