row_id,study_key,arxiv_id,source_url,date,authors,affiliation_type,model,version_pin,task_family,dataset,n,reference_label_type,metric,value,interval_low,interval_high,interval_type,value_key,comparator,comparator_value,comparator_tuning_budget,cost_or_latency,hardware_or_provider,calibration_quantity,post_hoc_calibration,cascade_result,test_set_exposure,code_available,excerpt,location,extractor,ledger_version
L011,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Jev,jev-1.13-20260917,social-science annotation,15 evaluation tasks (median task),,human_adjudicated,coverage_at_conf_ge_0.9_median_task,0.376,0.202,0.526,95% CI,ibrahim2026evaluating.jevMedianTaskCovAtConf90,,,same prompt,,,,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),"At the 0.9 threshold, the median task covers 0.376 of items (95 percent CI [0.202, 0.526]) at an accuracy of 0.815 (CI [0.691, 0.897]).",Section 4.4,extract-agent-A-main,1.0
L012,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Jev,jev-1.13-20260917,social-science annotation,Indian English dialect,266,human_adjudicated,ECE_equal_width_15bins,0.063,,,,ibrahim2026evaluating.jevDialectECE,next lowest of 22 models on dialect task,0.181,not reported,,,ECE-equal-width,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),"Jev’s calibration error on the dialect task is 0.063, against a median of 0.157 over the other seven utterance-family tasks, and it is the lowest of all 22 models on that task; the next lowest is 0.181.",Section 4.3,extract-agent-A-main,1.0
L013,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Jev,jev-1.13-20260917,social-science annotation,Indian English dialect,266,human_adjudicated,macro_F1_delta_vs_best_llm_pts,4.2,-3.9,11.5,95% paired-bootstrap CI,ibrahim2026evaluating.jevDialectF1DeltaVsBestLLM,best LLM on dialect task,n/a (delta reported),same prompt,,,,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),"On the remaining task, Indian English dialect, Jev posts the best point estimate in the grid ( + 4.2 points over the best LLM), though the confidence interval spans zero here as well (CI [ − 3.9,  + 11.5]).",Section 4.1,extract-agent-A-main,1.0
L014,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Jev,jev-1.13-20260917,social-science annotation,"15 evaluation tasks, cascade to Gemini 3.8 Flash",,human_adjudicated,cascade_accuracy_at_0.8_threshold,0.674,,,,ibrahim2026evaluating.jevGeminiCascadeAccAt0.8,Gemini 3.8 Flash alone,0.678,same prompt,56% of Gemini 3.8 Flash's cost,,,none,"At the 0.8 confidence threshold, cascading Jev to Gemini 3.8 Flash holds the partner's accuracy (0.674 vs 0.678 alone) at 56% of its cost.",public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),"The Gemini cascade holds the partner’s accuracy at a fraction of its price: at the 0.8 threshold the median task reaches 0.674 against 0.678 for Gemini alone, at 56 percent of its cost.",Section 4.5,extract-agent-A-main,1.0
L015,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Jev,jev-1.13-20260917,social-science annotation,"15 evaluation tasks, cascade to Gemma 4 31B",,human_adjudicated,cascade_accuracy_at_0.5_threshold,0.638,,,,ibrahim2026evaluating.jevGemmaCascadeAccAt0.5,Gemma 4 31B alone,0.626,same prompt,,,,none,"At the 0.5 confidence threshold, cascading Jev to Gemma 4 31B exceeds the partner alone (0.638 vs 0.626), because the two systems err on different items.",public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),"The Gemma cascade exceeds the partner outright, reaching 0.638 against 0.626 at the 0.5 threshold, because the two systems err on different items.",Section 4.5,extract-agent-A-main,1.0
L016,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Jev,jev-1.13-20260917,social-science annotation,"15 evaluation tasks, cascade to Haiku 4.5",,human_adjudicated,cascade_accuracy_price_capped,0.639,,,,ibrahim2026evaluating.jevHaikuCascadeAcc,Haiku 4.5 alone,0.622,same prompt,27% of Haiku 4.5's cost,,,none,"Cascading Jev to Haiku 4.5 (best closed model under the $0.50/1,000-item price cap) reaches 0.639 vs 0.622 for Haiku alone, at 27% of its cost.",public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),"The third panel shows cascades to Haiku 4.5, the best closed model under the same price cap, and shows the same pattern: 0.639 against 0.622 for Haiku alone, at 27 percent of its cost.",Section 4.5,extract-agent-A-main,1.0
L017,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Qwen3-0.6B-RLCD,b327ec5efb5fdbf8bfafa3b369720ac5f6434b05 (HF: anthonym21/qwen3-0.6b-rlcd-decision),social-science annotation,17-task local grid (Appendix B.14 open-ecosystem comparison),,human_adjudicated,macro_F1_median_over_covered_eval_tasks,36.1,,,,ibrahim2026evaluating.Qwen306BRLCDMedianF1,Jev,59.4,not reported,,,,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),Median F1 | 59.4 | 36.1 | 27.8 | 41.6 | 47.6 | 45.2 | 55.0 | 53.8,Table 25 (Appendix B.14),extract-agent-A-main,1.0
L018,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Qwen3-0.6B base,Qwen3-0.6B-Base,social-science annotation,17-task local grid (Appendix B.14 open-ecosystem comparison),,human_adjudicated,macro_F1_median_over_covered_eval_tasks,27.8,,,,ibrahim2026evaluating.Qwen306BbaseMedianF1,Jev,59.4,not reported,,,,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),Median F1 | 59.4 | 36.1 | 27.8 | 41.6 | 47.6 | 45.2 | 55.0 | 53.8,Table 25 (Appendix B.14),extract-agent-A-main,1.0
L019,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Laya-0.4B,not reported (0.4B ModernBERT-large; github.com/NandhaKishorM/laya),social-science annotation,17-task local grid (Appendix B.14 open-ecosystem comparison),,human_adjudicated,macro_F1_median_over_covered_eval_tasks,41.6,,,,ibrahim2026evaluating.Laya04BMedianF1,Jev,59.4,not reported,,,,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),Median F1 | 59.4 | 36.1 | 27.8 | 41.6 | 47.6 | 45.2 | 55.0 | 53.8,Table 25 (Appendix B.14),extract-agent-A-main,1.0
L020,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,decider-0.8b,not reported (Qwen3.5-0.8B base; github.com/Mapika/decider),social-science annotation,17-task local grid (Appendix B.14 open-ecosystem comparison),,human_adjudicated,macro_F1_median_over_covered_eval_tasks,47.6,,,,ibrahim2026evaluating.decider08bMedianF1,Jev,59.4,not reported,,,,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),Median F1 | 59.4 | 36.1 | 27.8 | 41.6 | 47.6 | 45.2 | 55.0 | 53.8,Table 25 (Appendix B.14),extract-agent-A-main,1.0
L021,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,decider-2b,not reported (Qwen3.5-2B base; github.com/Mapika/decider),social-science annotation,17-task local grid (Appendix B.14 open-ecosystem comparison),,human_adjudicated,macro_F1_median_over_covered_eval_tasks,45.2,,,,ibrahim2026evaluating.decider2bMedianF1,Jev,59.4,not reported,,,,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),Median F1 | 59.4 | 36.1 | 27.8 | 41.6 | 47.6 | 45.2 | 55.0 | 53.8,Table 25 (Appendix B.14),extract-agent-A-main,1.0
L022,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,SemIf-4B,not reported (frozen Qwen3.5-4B; github.com/TheoLeeCJ/SemIf),social-science annotation,17-task local grid (Appendix B.14 open-ecosystem comparison),,human_adjudicated,macro_F1_median_over_covered_eval_tasks,55.0,,,,ibrahim2026evaluating.SemIf4BMedianF1,Jev,59.4,not reported,,,,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),Median F1 | 59.4 | 36.1 | 27.8 | 41.6 | 47.6 | 45.2 | 55.0 | 53.8,Table 25 (Appendix B.14),extract-agent-A-main,1.0
L023,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Bespoke-Nimble-9B,not reported (LoRA on Qwen3.5-9B; HF: bespokelabs/Bespoke-Nimble-9B),social-science annotation,17-task local grid (Appendix B.14 open-ecosystem comparison),,human_adjudicated,macro_F1_median_over_covered_eval_tasks,53.8,,,,ibrahim2026evaluating.BespokeNimble9BMedianF1,Jev,59.4,not reported,,,,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),Median F1 | 59.4 | 36.1 | 27.8 | 41.6 | 47.6 | 45.2 | 55.0 | 53.8,Table 25 (Appendix B.14),extract-agent-A-main,1.0
L024,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,decider-0.8b,not reported (Qwen3.5-0.8B base),social-science annotation,14 evaluation tasks (open-ecosystem grid),,human_adjudicated,ECE_equal_width_median,0.081,,,,ibrahim2026evaluating.decider08bMedianECE,Jev,0.163,same prompt,,,ECE-equal-width,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),"decider-0.8b, trained under a proper scoring rule, reaches a median evaluation-task ECE of 0.081 against 0.163 for Jev on the same 14 tasks, the best-calibrated decision system in the study, at a median macro-F1 about 12 points below Jev’s,",Appendix B.14,extract-agent-A-main,1.0
L025,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Jev,jev-1.13-20260917,social-science annotation,"14 evaluation tasks (open-ecosystem grid, comparable subset)",,human_adjudicated,ECE_equal_width_median,0.163,,,,ibrahim2026evaluating.jevMedianECEOn14TaskEcosystemSubset,decider-0.8b,0.081,same prompt,,,ECE-equal-width,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),Median ECE | 0.163 | 0.128 | 0.144 | 0.275 | 0.081 | 0.134 | 0.217 | 0.248,Table 25 (Appendix B.14),extract-agent-A-main,1.0
L026,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,Jev,jev-1.13-20260917,social-science annotation,"18-task grid, 7977 items",23703,human_adjudicated,invalid_answer_count,0,,,,ibrahim2026evaluating.jevZeroInvalidAnswers,,,same prompt,,,,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),"labeling the full 7,977-item grid cost $0.21, a median 44 times below the per-task best LLM, and the typed interface eliminated parsing failures, with zero invalid answers across the 23,703 registered decision-model calls.",Section 5 (Discussion),extract-agent-A-main,1.0
L027,ibrahim2026evaluating,2609.24574,https://arxiv.org/abs/2609.24574,2026-09-21,"Ibrahim, Zaki",academic,all models,not reported,social-science annotation,"18-task grid, 7977 items",,human_adjudicated,total_inference_spend_usd,244.54,,,,ibrahim2026evaluating.totalGridInferenceSpendUsd,,,same prompt,"$244.54 total for the full study (all 22 models, all tasks)",,,none,,public-pre-2026,yes (https://github.com/hazemibrahim97/decision-models-css),Total inference spend for the full grid was $244.54,Section 6 (Ethics and Limitations),extract-agent-A-main,1.0
L028,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,"Marker head (ModernBERT-large, open-weight Jev-like)",not reported,classification,1200 workflow decisions (4 predicates),1200,administrative_field,auroc_swapped,.2315,,,,sun2026typesafe.markerNoYesAurocSwapped,"aligned arm (same model, no/yes)",.9376,same prompt,,,,none,,unclear,partial,AUROC falls from .9376 to .2315 (Figure 1a) — far below chance.,§4.2 (also Table 1),,
L029,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,"Marker head (ModernBERT-large, open-weight Jev-like)",not reported,classification,1200 workflow decisions (4 predicates),1200,administrative_field,flip_rate_per_hundred,76.92,,,,sun2026typesafe.markerNoYesFlipRate,0/1 neutral control,6.50,same prompt,,,,none,,unclear,partial,"exchanging the rubrics behind no and yes changes 76.92% of the returned answers, while the identical exchange behind 0 and 1 changes 6.50% and behind A and B changes 6.00%.",§4.1 (Table 1),,
L030,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,"Marker head (ModernBERT-large, open-weight Jev-like)",not reported,classification,1200 workflow decisions (4 predicates),1200,administrative_field,balanced_accuracy_swapped,.2839,,,,sun2026typesafe.markerNoYesBalAccSwapped,"aligned arm (same model, no/yes)",.8719,same prompt,,,,none,,unclear,partial,"Balanced accuracy tells the same story in the units a practitioner cares about: .8719 aligned to .2839 swapped, i.e. from well above to well below chance, while the 0/1 control moves .8368 → .8322.",§4.1,,
L031,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,"Span-mean head (DeBERTa-v3-large, open-weight Jev-like)",not reported,classification,1800-item pooled corpus (1200 of Table 1 + 600 of Appendix C),1800,administrative_field,flip_rate_per_hundred,19.50,,,,sun2026typesafe.spanMeanNoYesFlipRate,"marker head (same items, same swap)",80.50,same prompt,,,,none,,unclear,partial,"Running the identical swap on the same 1800 items through the span-mean head changes 19.50% of answers for no/yes, against 80.50% for the marker head — 4.1× smaller (Table 5).",§4.6 (Table 5),,
L032,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,"Span-mean head (DeBERTa-v3-large, open-weight Jev-like)",not reported,classification,1668 in-domain no-rubric questions (Appendix D),1668,administrative_field,auroc,.3597,,,,sun2026typesafe.spanMeanNoRubricAurocABRankingLost,"no/yes reference (same head, no rubric present)",.7860,same prompt,,,,none,,unclear,partial,A/B | .3399 | .3597 | ranking lost,Appendix D (Table 9),,
L033,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,Jev (hosted),not reported,classification,1200 workflow decisions (4 predicates),1200,administrative_field,auroc_swapped,.5806,,,,sun2026typesafe.hostedJevAurocSwapped,"aligned arm (same model, no/yes)",.8146,same prompt,,,,none,,unclear,partial,"its AUROC falling from .8146 to .5806, toward chance rather than past it; we cannot see its read-out and offer no mechanism for it, and its type-error rate is 0% as well, by Lemma 1.",§4.6,,
L034,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,Jev (hosted),not reported,classification,1200 workflow decisions (4 predicates),1200,administrative_field,flip_rate_per_hundred,32.50,,,,sun2026typesafe.hostedJevFlipRate,two neutral controls,2.08 and 1.67,same prompt,,,,none,,unclear,partial,"Exchanging the rubrics behind no and yes changes 32.50% of its answers against 2.08% and 1.67% for the two neutral controls, a contrast of 30.42 pts (95% CI [27.58, 33.33]), and balanced accuracy moves .7127 → .5163.",§4.6,,
L035,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,Jev (hosted),not reported,classification,1200 workflow decisions (4 predicates),1200,administrative_field,balanced_accuracy_swapped,.5163,,,,sun2026typesafe.hostedJevBalAccSwapped,"aligned arm (same model, no/yes)",.7127,same prompt,,,,none,,unclear,partial,balanced accuracy moves .7127 → .5163.,§4.6,,
L036,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,"Marker head (ModernBERT-large, open-weight Jev-like)",not reported,classification,1200 workflow decisions (4 predicates),1200,administrative_field,flip_rate_per_hundred_mean_neutral,6.25,,,,sun2026typesafe.markerNeutralMeanFlipRate,"polar, in-voc. pairs (mean)",63.29,same prompt,,,,none,,unclear,partial,"neutral ( 0/1 , A/B ) | 6.25% | 2.7–11.3%",Table 3 / §4.4,,
L037,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,"Marker head (ModernBERT-large, open-weight Jev-like)",not reported,classification,"1800-item pooled corpus, 15 opaque name draws",1800,administrative_field,flip_rate_per_hundred_opaque,6.86,,,,sun2026typesafe.markerOpaqueFlipRate,0/1 and A/B neutral controls,7.94,same prompt,,,,none,,unclear,partial,"They change 6.86%, 11.67% and 2.02% of answers against 7.94%, 14.83% and 1.88% for 0/1 and A/B: at most 3.16 pts apart in any family",§4.7 (Table 7),,
L038,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,Jev (hosted),not reported,classification,"1200-item corpus, 5 opaque name draws",1200,administrative_field,flip_rate_per_hundred_opaque,2.02,,,,sun2026typesafe.hostedOpaqueFlipRate,0/1 and A/B neutral controls,1.88,same prompt,,,,none,,unclear,partial,"They change 6.86%, 11.67% and 2.02% of answers against 7.94%, 14.83% and 1.88% for 0/1 and A/B: at most 3.16 pts apart in any family",§4.7 (Table 7),,
L039,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,"Span-mean head (DeBERTa-v3-large, open-weight Jev-like)",not reported,classification,"1800-item pooled corpus, 15 opaque name draws",1800,administrative_field,flip_rate_per_hundred_opaque,11.67,,,,sun2026typesafe.spanMeanOpaqueFlipRate,0/1 and A/B neutral controls,14.83,same prompt,,,,none,,unclear,partial,"They change 6.86%, 11.67% and 2.02% of answers against 7.94%, 14.83% and 1.88% for 0/1 and A/B: at most 3.16 pts apart in any family",§4.7 (Table 7),,
L040,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,"Marker head (ModernBERT-large, open-weight Jev-like)",not reported,classification,1200 workflow decisions (4 predicates),1200,administrative_field,flip_rate_per_hundred_min_across_predicates,56.7,,,,sun2026typesafe.markerPerPredicateMinFlip,0/1 control (max across predicates),11.3,same prompt,,,,none,,unclear,partial,"no / yes never falls below 56.7%, and the neutral control never exceeds 11.3%.",Table 2 / §4.3,,
L041,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,"Marker head (ModernBERT-large, open-weight Jev-like)",not reported,classification,1200 workflow decisions (4 predicates),1200,administrative_field,flip_rate_ratio_vs_control_min,7.4,,,,sun2026typesafe.markerPerPredicateMinRatioVsControl,0/1 neutral control,,same prompt,,,,none,,unclear,partial,"no/yes survives outright: its minimum over four independent predicates is 56.7%, against a neutral control that never exceeds 11.3%, and predicate by predicate it flips at least 7.4× as often as that control.",§4.3,,
L042,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,"Span-mean head (DeBERTa-v3-large, open-weight Jev-like)",not reported,classification,1800-item pooled corpus,1800,administrative_field,flip_reduction_factor_vs_marker,4.1,,,,sun2026typesafe.meanPoolingFlipReductionFactor,marker head,80.50,same prompt,,,,none,,unclear,partial,"Running the identical swap on the same 1800 items through the span-mean head changes 19.50% of answers for no/yes, against 80.50% for the marker head — 4.1× smaller (Table 5).",§4.6 (Table 5),,
L043,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,Jev (hosted),not reported,classification,1200 workflow decisions (4 predicates); 300-item / 2-name-pair test-retest subsample,1200,administrative_field,flip_multiple_vs_retest_floor,24,,,,sun2026typesafe.hostedFlipMultipleVsRetestFloor,test-retest floor (aligned arm asked twice),1.33,same prompt,,,,none,,unclear,partial,"we asked the aligned arm twice over 300 items and 2 name pairs: the answer changes at most 1.33% of the time when nothing changes. The swap is 24× that floor, and the two neutral controls sit on it.",§4.6,,
L044,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,Marker head; Span-mean head; Jev (hosted) — all three families,not reported,classification,1200 workflow decisions (4 predicates); 1800-item pooled corpus,1200,administrative_field,type_error_rate_percent,0,,,,sun2026typesafe.typeErrorRatePercent,,,same prompt,,,,none,,unclear,partial,"All seven findings apply the instrument of §3 to the same items, and the type-error rate is 0% in every one of them.",§4 (preamble),,
L045,sun2026typesafe,2609.26758,https://arxiv.org/abs/2609.26758,2026-09-22,"Sun, Xu",academic,"Marker head (ModernBERT-large, open-weight Jev-like)",not reported,classification,1200 workflow decisions (4 predicates),1200,administrative_field,did_flip_rate_pts_vs_0_1,70.42,67.58,73.08,"95% bootstrap CI (2000 resamples, clustered on records)",sun2026typesafe.markerNoYesDidPts,0/1 neutral control,6.50,same prompt,,,,none,,unclear,partial,"The controlled contrast is 70.42 pts (95% CI [67.58, 73.08]) against 0/1 and 70.92 pts ([68.16, 73.50]) against A/B.",§4.1,,
