arxiv_id,claim,found_value,verdict,excerpt,location
2609.26550,gap concentrated in low-confidence decisions,"Confirmed. Pooled across RewardBench/JudgeBench/HaluEval, JEV is right on only 47.7% of items with q<0.6 vs GPT-6's 78.5% on the same low-confidence items, while at q>=0.9 the two are nearly interchangeable (95.8% vs 96.5%). AUROC of q against JEV correctness is 0.869/0.745/0.863 on the three benchmarks.",confirmed,"On the items JEV would accept at q ≥ 0.9 the two are nearly interchangeable (95.8% versus 96.5%; 97.2% versus 98.5% under the human-corrected labels of Appendix I); on the items it would escalate, GPT-6 leads by 15 points (67.9% versus 82.6%).","Section 7, 'Confidence orders the errors'; Figure 5"
2609.26550,frozen cascade keeps 99% of comparator accuracy,"Confirmed as a rounded headline figure in the Conclusion ('keep 99% of GPT-6's accuracy at 57% of its fee'). The precise frozen two-order policy (GPT-6 Astra fallback, tau=0.9, Table 3) retains 92.5/93.1 = 99.36% of GPT-6 Astra's standalone accuracy at 56.8% of its fee (62.2% under the conservative usage bound), accepting 53.7% of the 510 extension pairs. Threshold was chosen on 96 pilot selection pairs before the extension/model-expansion inference, per Section 3 'What was frozen and when' and Section 7 'Frozen two-order policies', to avoid leakage into the evaluated extension set.",confirmed,"Because JEV’s confidence marks where its errors lie, the escalation can be automatic: accept when confident, escalate when unsure, and keep 99% of GPT-6’s accuracy at 57% of its fee.","Section 8 Conclusion; Table 3 (GPT-6 Astra row, tau=0.90); Section 7 'Frozen two-order policies'"
2609.26550,CMU (affiliation),"Confirmed. All four authors (Yubo Li, Yidi Miao, Ramayya Krishnan, Rema Padman) are listed under a single affiliation, Carnegie Mellon University, with @andrew.cmu.edu emails. The paper does not separately name Heinz College in the byline text; acknowledgments also cite 'Carnegie Mellon University's AI Measurement Science and Engineering Center (AIMSEC)'.",confirmed,"Yubo Li    Yidi Miao    Ramayya Krishnan    Rema Padman Affiliation: Carnegie Mellon University Affiliation: {yubol, yidim, rk2x, rpadman}@andrew.cmu.edu",Title page / byline (before Section 1 Introduction)
2609.24052,"27 variables, 195,857 narratives, 2,416 blinded human judgments","27-question schema; 195,857 Stage-2 narratives coded; 2,416 usable human judgments",confirmed,"The schema holds 27 questions, of which 16 are presence questions, 8 are categorical, 3 are ordinal and 7 are gated","Section 3.2 (27 questions); Section 3.2 (195,857 coded, ""The second stage coded 195,857 narratives with no errors at a cost of $30.22.""); Section 3.3 (""which leaves 2,416 usable judgments with 48 disputed pairs and 18 unclear answers."")"
2609.24052,F1 0.908 (0.871-0.936),"Pooled F1 = 0.908, interval [0.871, 0.936]",confirmed,"Pooled F₁ is 0.908 with an interval of [0.871, 0.936], the weighted Cohen’s kappa is 0.906, and 11 of the 16 variables reach an F₁ of 0.85 or more (Table 5).",Section 4.3
2609.24052,ECE 0.023 raw,"Pooled raw ECE = 0.0231 (rounds to 0.023), interval [0.0212, 0.0245] in prose / [0.0212,0.0244] in Table 6",confirmed,"Pooled across variables the calibration error is 0.0231 with a cluster-bootstrap interval of [0.0212, 0.0245]",Section 4.2
2609.24052,Claude Fable 5.1 gains 0.059 F1 (0.030-0.098),"claude-fable-5-1 reaches F1=0.967 vs Jev 0.908, paired difference 0.059, interval [0.030, 0.098]",confirmed,"The first reaches an F₁ of 0.967 against 0.908 for the typed model, a paired difference of 0.059 with an interval of [0.030, 0.098] over 2,416 judgments, which is a material advantage.","Section 4.4 (model identified as ""claude-fable-5-1"" in Table 9, the first-listed frontier arm, which the text calls ""the first"" arm)"
2609.24052,second frontier model paired difference 0.023 (-0.002 to 0.048),"gpt-5.6-sol reaches F1=0.885, paired difference 0.023, interval [-0.002, 0.048]",confirmed,"The second reaches 0.885 and is not distinguishable from the typed model, because its paired difference of 0.023 has an interval of [-0.002, 0.048] that straddles zero, and it gets there by trading recall for precision, 0.814 against 0.970.","Section 4.4 (model identified as ""gpt-5.6-sol"" in Table 9, the second-listed frontier arm)"
2609.24052,isotonic cuts ECE 3.3x,"Pooled ECE falls from 0.0231 to 0.0069 under both Platt scaling and isotonic regression, a factor of 3.3; isotonic IS explicitly named as a recalibration method in Section 3.4 and Table 6, contrary to the seed note's assumption that only 'recalibration' (unnamed) appears",confirmed,"Out of fold, the pooled calibration error falls from 0.0231 to 0.0069 under Platt scaling and to 0.0069 under isotonic regression, a factor of 3.3, with an interval of [0.0045, 0.0112] on the Platt value.","Section 4.2 (method named); also Eq. (20) and Table 6 in Section 3.4 name ""Platt scaling and isotonic regression"" explicitly, and Table 6 has a row labeled ""isotonic"" with held-out ECE 0.0069 [0.0045, 0.0111]"
2609.24052,"$774 vs $39,875 whole corpus","Jev: $774 projected for the whole 5,018,080-narrative corpus; mid-tier frontier list-price scenario: about $39,875 for the same corpus",confirmed,"Projected to the whole corpus that is about $39,875 against $774, which separates a routine analysis from one that does not happen.",Section 4.4
2609.27678,9 LLMs (comparator count),"Nine hosted/open-weight comparators named: Qwen3.5-4B, Qwen3.5-9B, Gemini 3.5 Flash-Lite, Gemini 3.1 Pro Preview, GPT-5.6 Luna, GPT-5.6 Terra, GPT-6 Astra, Claude Sonnet 5, Claude Haiku 4.5.",confirmed,we compare Jev with nine language models on ContractNLI,Abstract
2609.27678,Jev has lowest cost and latency,Jev: $0.000228 USD/contract (lowest of all 10) and median response time 1.24 s (lowest of all 10); P95 1.59 s (lowest).,confirmed,Jev has the lowest cost and median response time among the evaluated configurations,Abstract
2609.27678,hosted LLMs more accurate (than Jev),"Jev baseline accuracy 77.38%; all seven hosted comparators higher, from 78.96% (Luna) to 83.21% (Gemini Pro).",confirmed,"All seven hosted language-model comparators have higher accuracy point estimates, ranging from 78.96% for Luna to 83.21% for Gemini Pro.",Section 4.1
2609.27678,stability rankings differ from accuracy rankings,"Rankings by baseline accuracy differ from rankings by correctness across every condition and repeat; e.g. Sonnet has highest all-twelve-correct (24/30) despite not having highest accuracy, and small differences (e.g. Sonnet vs Jev, 1 target) do not establish a general stability advantage.",confirmed,"Rankings by baseline accuracy differ from rankings by correctness across every condition and repeat, although small differences in the latter do not establish a general stability advantage.",Abstract
2609.27678,14 authors including Nakov and P. S. Yu,"14 authors listed: Fan Zhang, Yankai Chen, Zhuohan Xie, Yixi Zhou, Sijia Peng, Lei Fan, Xinhua Ji, Cunyuan Zheng, Huangyong Shan, Philip S. Yu, Xue Liu, Yu Chen, Preslav Nakov, Songwei He. Both Philip S. Yu and Preslav Nakov present.",confirmed,"Huangyong Shan^(9,11) Philip S. Yu¹⁰ Xue Liu^(2,3) Yu Chen¹ Preslav Nakov² Songwei He^(9,11)","Title/author block, line 100"
2609.27607,Kendall 0.573/0.398 with expert error counts,"Jev-OneQ tau_b = 0.573 [0.470,0.661] on RadEvalX and 0.398 [0.339,0.455] on RadEvalExpert",confirmed,Jev–OneQ reaches τ_(b) = 0.573 on RadEvalX and 0.398 on RadEvalExpert (Table 1).,§5.1; Table 1
2609.27607,beats an NLI judge,"OneQ improves over open NLI by 0.236 [0.131,0.345] (RadEvalX total) and 0.075 [0.043,0.106] (RadEvalExpert total); NLI totals are 0.337 and 0.323",confirmed,"With the same statements and count aggregation, OneQ improves over open NLI by 0.236 [0.131, 0.345] and 0.075 [0.043, 0.106] on total errors.",§5.1
2609.27607,AUROC 0.977 on false negation,"AUROC 0.977 [0.972,0.982], recall 91.9% at 0.5 (main text); Table A9 gives the more precise 0.9773 [0.972,0.982], n+ = 1,398",confirmed,"Jev detects false negation with an AUROC of 0.977 [0.972, 0.982] and recall of 91.9% at threshold 0.5.",§5.2; Table A9
2609.27607,<$0.03 per 100 pairs,"Judgment API cost < US$0.03 per 100 report pairs, excluding local decomposition (exact per-pair figures $0.000226 RadEvalX / $0.000258 RadEvalExpert = ~2.3-2.6 cents per 100 pairs)",confirmed,"Judgment API calls cost less than US$0.03 per 100 report pairs, excluding local decomposition.",Abstract; §5.3; Table A8
2609.27607,a trained local model is stronger on clinically significant errors,"Local RadMatch beats Jev on significant errors on RadEvalX (0.491 vs 0.346, diff -0.145 [-0.294,-0.004]) and on both total (0.453 vs 0.322) and significant (0.485 vs 0.259, diff -0.226 [-0.320,-0.137]) errors on the shared 200-pair RadEvalExpert subset. However RadMatch is not described as a 'trained' model in this paper: it is 'finding-level matching and attribute analysis' (an LLM-prompted pipeline from Corbiere et al. 2026, arXiv:2609.01470) run locally on a Qwen3.8-27B-FP8 backend, replacing the original RadMatch paper's judge choice -- not a separately fine-tuned/trained classifier.",imprecise,RadMatch uses finding-level matching and attribute analysis to produce auditable discrepancy measures [6].,§2; §4.2; §5.1; Table 1
2609.23886,this-that-model-1.0 is a 2B-parameter model,"2B (abstract); 1.88B (Section 1, exact)",confirmed,this-that-model-1.0 is a 2B-parameter typed decision model.,Abstract; cf. Section 1 'The model is 1.88B parameters'
2609.23886,Answer is read via hidden-state readout (not generated text),confirmed,confirmed,"Its answer is read directly from the hidden state at a designated position and restricted to the option set the caller declared, so no text is generated",Abstract
2609.23886,Decides in 30.9 ms,"30.9 ms, one laptop GPU (16GB)",confirmed,"It decides in 30.9 ms on one laptop GPU, and generates zero output tokens doing it.",Abstract; Section 1
2609.23886,this-that-model scores 0.941 accuracy on third party's 68 questions,0.941,confirmed,"it scores 0.941 with a Brier score of 0.042, against 0.765 and 0.133 for Jev, the hosted service, on the same items.","Abstract; Section 4.1, Table 1"
2609.23886,this-that-model scores Brier 0.042 on third party's 68 questions,0.042,confirmed,"it scores 0.941 with a Brier score of 0.042, against 0.765 and 0.133 for Jev, the hosted service, on the same items.","Abstract; Section 4.1, Table 1"
2609.23886,Jev scores 0.765 accuracy on the same 68 questions,"0.765 (measured by NanoJev/third party, not by the paper's authors)",confirmed,"against 0.765 and 0.133 for Jev, the hosted service, on the same items.","Abstract; Section 4.1, Table 1"
2609.23886,Jev scores Brier 0.133 on the same 68 questions,"0.133 (measured by NanoJev/third party, not by the paper's authors)",confirmed,"against 0.765 and 0.133 for Jev, the hosted service, on the same items.","Abstract; Section 4.1, Table 1"
2609.23886,"this-that-model fails multi-step arithmetic, scoring 0.560",0.560 vs hosted range 0.98-1.00,confirmed,"on multi-step arithmetic, which a single forward pass cannot carry intermediate results through, it scores 0.560 against their 0.98 to 1.00.",Abstract
2609.23959,Backbone is Qwen3-4B with LoRA tuning,"Qwen3-4B, LoRA rank 16, alpha 32, all attention/MLP projections",confirmed,Qwen3-4B is LoRA-tuned so that the temperature-scaled softmax over two answer-label logits is P(scam).,Abstract; Section 3 'Training'
2609.23959,577 decisions (test set),577 turn-end decisions from 41 held-out scenarios,confirmed,On 41 held-out CallScreenBench scenarios (577 per-turn decisions) a three-seed ensemble reaches AUROC .974,Abstract; Table 2 caption
2609.23959,AUROC 0.974,"97.4% (.974); reported as a three-seed probability ensemble, not a single model (single-seed mean AUROC 97.2%)",confirmed,On 41 held-out CallScreenBench scenarios (577 per-turn decisions) a three-seed ensemble reaches AUROC .974 with calibration error .052,"Abstract; Table 2 (JevLite, 3-seed ens.)"
2609.23959,Calibration error 0.052,"ECE .052 (5.2%), 10 equal-width bins, three-seed ensemble",confirmed,On 41 held-out CallScreenBench scenarios (577 per-turn decisions) a three-seed ensemble reaches AUROC .974 with calibration error .052,Abstract; Table 2; Section 4 'Metrics' (ECE definition)
2609.23959,64.5 ms per decision,"64.5 ms median (p95 110.5 ms), one RTX 3090, batch size 1; this is one model, not the three-seed ensemble",confirmed,"64.5 ms per decision on one consumer GPU, 4.9× lower than the same backbone fine-tuned to generate its answer.",Abstract; Section 5 'Latency'; Table 2 footnote
2609.23959,"""the gain is in the readout and calibration, not accuracy""",verbatim quote confirmed,confirmed,"The gain is in the readout and calibration, not accuracy: a fine-tuned ModernBERT encoder is not significantly worse, the recipe was selected with test-set exposure, and all callers are synthetic.",Abstract
2609.23959,Exact HF id of the released JevLite model,not given anywhere in the paper text,not_found,"The code, LoRA adapters, per-decision predictions and the 82 generated test calls will be released so that such weaknesses can be studied openly",Section 7 Conclusion; Appendix E Ethics Statement (no repository URL or HF id provided in either place)
2609.23986,Evaluated on LoCoMo,confirmed,confirmed,"LoCoMo (Maharana et al., 2024) contains ultra-long multi-session conversations and evaluates an agent’s ability to recover information requiring temporal, causal, and cross-session reasoning.",Section 4.1 'Datasets'
2609.23986,+11% relative improvement over the strongest memory baseline,11.0% relative improvement (0.777 vs 0.700 for MAGMA),confirmed,"Jev-Mem achieves the highest overall LLM-as-a-Judge score of 0.777, compared with 0.700 for the strongest baseline, corresponding to an 11.0% relative improvement.",Abstract; Section 4.2; Table 1
2609.23986,6.6x faster memory construction,"6.6x speedup (158 s vs 1,044 s for Nemori, the fastest competing system)",confirmed,"Its total memory build time is only 158 seconds, compared with 1,044 seconds for the fastest competing memory system, corresponding to an 84.9% reduction, or a 6.6× speedup.",Abstract; Section 4.3; Table 2
2609.23986,Co-author draft: LLM-judge score 0.777,0.777,confirmed,"Jev-Mem achieves the highest overall LLM-as-a-Judge score of 0.777, compared with 0.700 for the strongest baseline",Abstract; Section 4.2; Table 1
2609.23986,Co-author draft: 158 seconds for memory construction,158 s,confirmed,"reducing memory construction time to 158 s, a 6.6× speedup over the fastest competing memory system, and lowering average query latency to 0.93 s, a 36.7% reduction.",Abstract; Table 2
2609.23986,Co-author draft: 0.93 (query latency),0.93 s average query latency,confirmed,"lowering average query latency to 0.93 s, a 36.7% reduction. The code of Jev-Mem is publicly available.",Abstract; Section 4.3; Table 2
2609.24395,"Zero-shot video quality evaluated on 1,936 encodes","1,936 PVS (processed video sequences), Study A, AOM CTC class A2",confirmed,"This yields 1,936 processed video sequences (PVS).",Section III-A
2609.24395,Pearson r = 0.737 for JEVQA vs 0.733 for ITU-T P.1204.1,0.737 vs 0.733,confirmed,"JEVQA is slightly ahead on all three metrics, but the difference is small (PLCC 0.737 vs. 0.733).",Section IV-B; Table II
2609.24395,Trained models stay ahead of the zero-shot JEVQA model,"confirmed (e.g. ExtraTrees PLCC 0.957 vs JEVQA combined 0.824, Study A; ExtraTrees 0.951 vs JEVQA Mode 0 0.879, Study B)",confirmed,"Our results show that trained models on the same features remain clearly ahead in both studies, but that zero-shot classifiers are promising.","Abstract; Section IV-B, IV-D"
2609.24965,"20 source-grounded scientific Choices, 12 configurations",20 Choices in 10 cases; 12 model configurations (Table 1),confirmed,"The model comparison uses twenty scientific Choices in ten cases, with two questions per case. ... We compared twelve configurations on all ten cases, each repeated five times.",section 2.1; section 2.3; Table 1
2609.24965,matches five configurations at full semantic correctness,"Jev matched GPT-5.6 Sol, GPT-6 Astra, Claude Sonnet 5, Claude Opus 5, Kimi K3 (all 100/100 semantic)",confirmed,Jev matched five other configurations at complete semantic correctness and achieved the lowest observed median latency among successful responses.,Abstract; Table 1
2609.24965,lowest latency,"Jev median 0.335 s, p95 0.442 s -- lowest of all 12 configurations",confirmed,"Jev had the lowest observed successful-request median latency, 0.335 s, with a p95 of 0.442 s.",section 3.3; Table 1
2609.25845,macro accuracy of 70.6% -> 76.1% after answer-supervised post-training,"0.706 -> 0.761 (4-benchmark equal-weight macro average, 4B backbone)",confirmed,Answer-supervised post-training raises equal-weight macro accuracy from 0.706 to 0.761.,Abstract; Table 2
2609.25845,8.9x and 3.4x speedups at N=32,8.9x vs fully independent (50.7ms->5.7ms); 3.4x vs already-batched no-reuse (19.3ms->5.7ms),confirmed,"At N = 32, independent serial execution takes 50.7 ms per question after amortization. Batching the full sequences without reuse reduces this to 19.3 ms, a 2.6x gain. Reusing the prefix at the same batching level reduces it further to 5.7 ms, a 3.4x gain. Together they yield 8.9x and 176 questions/s instead of 20.",section 5.2; Table 3
2609.25845,typed-head control shows no consistent accuracy advantage,answer SFT (LM head) 0.761+/-0.002 vs decision CE (typed head) 0.761+/-0.001; overlapping seed ranges,confirmed,A matched typed-head control offers no consistent accuracy advantage over the LM-head readout.,Abstract; section 5.1; Table 2
2609.26532,"100 frozen tasks, BFCL and tau-style",REFLEX-Sim v1.2.0: 100 held-out frozen tasks; external validation on BFCL and tau^2-bench v1.0.1,confirmed,"The test set contains 100 held-out tasks, and all reported main runs have zero harness errors. ... Figure 5(a) ... BFCL ... Figure 5(b) ... tau^2-bench v1.0.1",section 4 (REFLEX-Sim); section 5.4
2609.26532,95% success with 72.7% fewer strong-model calls,"R1 tau=0.5: 95% success, 1.12 calls/task vs B0's 4.10 calls/task = 72.7% GMR",confirmed,"R1 at tau = 0.5 achieves 95% success with 1.12 calls per task, a 72.7% reduction.",section 5.1; Table 1
2609.26532,limited advantage over a cheap generative cascade when routing is already accurate,"On tau^2-bench, B3 (cheap self-escalation cascade) is cheaper and numerically higher-success than REFLEX, both differences statistically unresolved; BFCL shows near-ceiling function selection (98.4%) but the harder relevance decision (52.0%) is not well addressed either",confirmed,"However, a cheap LLM cascade with self-escalation remains competitive. Together with the BFCL results, this suggests that a specialized decision layer has limited room to improve performance when ordinary routing is already highly accurate.",Abstract; section 5.4
2609.27535,"anchors covering 1.7% of states reduced effect error by 41% on Epstein experiments with 9,070 participants","1,080 paired anchors = ~1.7% of 64,000 application states; Epstein effect MAE 0.0305 -> 0.0180 = 41% reduction; Epstein has 9,070 completed participants",confirmed,"Astra supplies 1,080 paired anchor predictions, approximately 1.7% of the 64,000 application states... Effect MAE falls by 41% (Table 2). ... Epstein provides 9,070 completed participants in five waves.",section 7.1; Table 2; section 4
2609.27535,SocSci210 results,"Captured decision gain 0.268 (kernel) -> 0.386 (hybrid, 3 anchors/condition, ~1.5% coverage), improvement 0.119 [0.014,0.224]; primary approximation correlation 0.608 -> 0.709",confirmed,"The strongest human-referenced secondary is captured gain: 0.268 to 0.386, an improvement of 0.119 [0.014, 0.224]. One anchor per condition, 694 items or 0.5% of population states, already yields a gain of 0.114 [0.014, 0.215]; two yield 0.118 [0.006, 0.224]. Three cover 1.5%.",section 7.2
,"324-item holdout, 13 public human-labelled subsets","324-item frozen contrastive holdout (GitHub README); 13 public subsets, 3,880 records total (docs/PUBLIC_BENCHMARKS.md)",confirmed,"On 324 held-out examples, Bespoke-Nimble-9B matches 90.1%... Bespoke-Nimble-9B and Jev 1.13.0 have been run on every subset below, 3,880 records in [total]... thirteen public subsets, starting with VitaminC.",GitHub README (infographic caption); docs/PUBLIC_BENCHMARKS.md
,90.12% vs Jev 93.21%,Bespoke-Nimble-9B 292/324=90.12%; Jev 1.13.0 302/324=93.21% (both on the 324-item frozen contrastive holdout),confirmed,| Bespoke-Nimble-9B | 292/324 | 90.12% | ... | Jev 1.13.0 | 302/324 | 93.21% |,"GitHub README, 'Evaluation on 324 held-out examples' table"
,temperature 2.18 cuts ECE 0.128 -> 0.066,"Fitted temperature 2.179078721266035 reduces ECE from 0.128 to 0.066, but only on a separate 300-example 'second set', NOT the primary 324-item held-out set (where ECE is 0.052 -> 0.054, essentially unchanged/slightly worse)",imprecise,Second set (300) | Expected calibration error | 0.128 | 0.066 ... Held-out set (324) | Expected calibration error | 0.052 | 0.054,"GitHub README, 'Probability temperature' calibration table"
,"ships over-confident, ECE 0.466 before and 0.081 after temperature scaling","laya (English) mean ECE 0.466 (T=1.0) -> 0.081 after per-(question-type,option-count) temperature refit",confirmed,"Ships over-confident: Refitting one temperature per (question type, option count) moves mean ECE 0.466 -> 0.081 (`laya`).","HF card convaiinnovations/laya, 'Honest Limits'"
,0.362 zero-shot on typed-decisions,"laya (English) 0.362 accuracy on the 2,000-decision typed-decisions benchmark, zero-shot",confirmed,"Base checkpoints are near chance on typed-decisions zero-shot -- 0.362 here and 0.34-0.35 for multilingual, against a 0.318 random and 0.461 majority-class baseline.","HF card convaiinnovations/laya, 'Honest Limits' and comparison table"
,0% accuracy on Khmer at 0.952 reported confidence,English checkpoint: 0.000 accuracy at 0.952 confidence on Khmer,confirmed,Khmer scores 0.000 accuracy at 0.952 confidence.,HF card convaiinnovations/laya main description; grey_laya_multilingual_card.md 'Why this checkpoint exists'
,33-39 ms on a T4,laya (English) 39.5 ms and laya-multilingual 32.8 ms per single question on a Tesla T4,confirmed,| 1 | 39.5 ms | **32.8 ms** |,"HF card convaiinnovations/laya, 'Speed' table"
,"ECE 0.031 on 1,200 MMLU items","ten-bin ECE = 0.0313 on the 1,200-item MMLU sample",confirmed,"On the 1,200-item MMLU sample, ten-bin expected calibration error was 0.0313 ... MMLU sample 1,200 items - ECE 0.031",essay section 5 and Figure 5 panel label
,"10,000+ API probes","Page meta description and body state 'I probed Jev with 10,000 API calls'; itemized Methods breakdown (1,029 probe records + 6,800 benchmark records + 146 follow-up requests + 445-request tokenizer experiment, etc.) sums to roughly 8,400-8,800 explicitly itemized requests",confirmed,"I probed Jev with 10,000 API calls to work out roughly how it's built, and why most o[f the field guesses wrong]... The source study contains 1,029 instrumented probe records (including the 190 generated-math items), 6,800 benchmark records, and separate factual checks. Follow-up studies added 146 relational and option-interaction requests.",page meta description/headline; Methods section
,The Vercel production report (18x p95),"No Vercel-owned page (blog, changelog, or product page) contains an '18x' or 'p95' figure -- independently verified by direct fetch and grep of all three candidate URLs. The figure exists only in two X/Twitter posts (Vercel CEO Guillermo Rauch and Vercel engineer 'fazxes'/Pranit), with no disclosed methodology, sample size, or task definition beyond 'fx auto mode (safety) classifier'.",not_found,"[grep of grey_vercel_blog.html, grey_vercel_changelog.html, grey_vercel_whatisjev.html for '18x' and 'p95': zero matches in all three]","https://vercel.com/blog/ai-gateway-jev-model-launch ; https://vercel.com/changelog/typesafe-ai-jev-now-available-on-ai-gateway ; https://vercel.com/i/what-is-jev (all checked, none contain the figure)"
,teacher self-agreement 0.735,Teacher self-agreement (ceiling row) = 0.735 accuracy; Jev scores 0.727 against this ceiling,confirmed,"Teacher self-agreement | ceiling | 0.735 | a fresh teacher sample scored against gold built from the others. ... Jev scores 0.727 against a 0.735 ceiling, so it has effectively saturated this benchmark.","HF dataset card LocalLLaMA/typed-decisions, 'What a score here means' table"
,the soft-gold construction,"Gold built by sampling a teacher endpoint 3 times per case at temperature 0.7 and averaging the resulting probability distributions (not argmax labels), which leaves gold soft where genuinely ambiguous",confirmed,"Label it with a teacher endpoint, sampled 3 times per case at temperature 0.7. The gold is the mean of the sampled distributions. Averaging distributions instead of argmax labels is what leaves the gold soft where a decision is genuinely ambiguous.","HF dataset card LocalLLaMA/typed-decisions, 'How it was built', step 3"
