arxiv_id,title,first_author,all_authors,published,primary_category,abstract,found_by,screen_decision,screen_reason
2609.26532v1,REFLEX with Jev for Efficient Selective Control in LLM Agents,Tiantong Wu,Tiantong Wu; Wei Yang Bryan Lim,2026-09-22T14:54:02Z,,"LLM agents often use generative models for bounded decisions, raising the question of when these decisions can be handled more efficiently without reducing task success. We study REFLEX, an agent architecture that uses Jev as a fast, typed decision layer and calls a strong LLM when confidence is low, or generation is required. On a frozen 100-task benchmark, REFLEX achieves 95% success with 72.7% fewer strong-model calls than a strong-only agent, with reductions persisting across three fallback families. Controlled interventions show that reliability depends on action-set size and near-valid alternatives near authorization boundaries. External BFCL and $τ$-style evaluations reveal limited advantages over a cheap generative cascade when ordinary routing is already highly accurate. These findings identify when selective control with Jev can reduce computation and where its benefits are limited.","all:Jev; all:""typed decision""; FORCE_INCLUDE",include,Mentions decision models and reports measurements
2609.26550v1,"JEV-as-a-Judge: Accept When Confident, Escalate When Unsure",Yubo Li,Yubo Li; Yidi Miao; Ramayya Krishnan; Rema Padman,2026-09-22T15:05:56Z,,"LLM-as-a-judge enables evaluation across diverse tasks, but inference cost and confidence reliability become critical at scale. We study whether a decision-only judge can provide an economical first pass and identify when stronger evaluation is needed. Comparing jev-as-a-judge with sixteen generative and reward-model judges, with blinded human adjudication, we find it within three percentage points of a state-of-the-art LLM judge, our strongest comparator, on ordinary preference and evidence-grounded factuality at 0.36% of the comparator's fee. Larger gaps arise when judgments require checking a derivation or resisting an elaborately written wrong answer. On several benchmarks, JEV's gap to this comparator is concentrated in low-confidence decisions. A frozen cascade that accepts confident verdicts and escalates uncertain ones retains 99% of the comparator's accuracy at lower cost.",all:Jev; FORCE_INCLUDE,include,Mentions decision models and reports measurements
2609.26698v1,Model-Independent Sideband Constraints on Inelastic Dark Matter at the LZ High-Recoil Candidate,David Delepine,David Delepine; Shaaban Khalil,2026-09-22T16:50:53Z,,"The LUX-ZEPLIN experiment has reported one nuclear-recoil event at $248\pm23_{\rm stat}\pm23_{\rm sys}\,{\rm keV}$ in a $2.84\,{\rm tonne\text{-}year}$ exposure, with a local significance of $3.4σ$. Inelastic (endothermic) dark matter is a natural candidate: its kinematic threshold suppresses low-energy recoils and shifts the signal toward higher recoil energies. We perform a model-independent analysis of the LZ data using two sidebands, without specifying an ultraviolet completion, so our results apply broadly to inelastic dark matter with coherent spin-independent nuclear scattering. For each $(m_χ,δ)$ we compute $N_{\rm low}/N_{\rm sig}$ and $N_{\rm hi}/N_{\rm sig}$---predicted count ratios in the sidebands $[14,225)\,{\rm keV}$ and $(271,800]\,{\rm keV}$ relative to the signal region $[225,271]\,{\rm keV}$. The two ratios vary in opposite directions with $δ$ and are simultaneously optimized at a unique splitting $δ^\star$. For $m_χ=1\,{\rm TeV}$, $δ^\star=339\,{\rm keV}$ with a combined Poisson tension of $\approx1.9σ$; over $500\,{\rm GeV}$--$3\,{\rm TeV}$, the tension at $δ^\star$ rises from $\lesssim1.3σ$ to $\approx2.5σ$. Additional suppression arises from the Helm form factor: $|F_{\rm Xe}^{\rm Helm}|^2\simeq3\times10^{-4}$ at $248\,{\rm keV}$, near its second diffraction zero. A dedicated LZ search over $271<E_R<800\,{\rm keV}$ would provide a decisive test of inelastic dark matter with $δ\gtrsim330\,{\rm keV}$.",all:Kev AND all:decision,exclude,"curator review: physics paper; matched ""keV"" via query all:Kev"
2609.26758v1,"Type-Safe Is Not Error-Free: A Constrained Decision Head Follows the Option Name, Not the Rubric Bound to It",Yu Sun,Yu Sun; Junhao Xu,2026-09-22T17:38:12Z,,"Typed decision models are built for settings where model outputs are consumed directly by software. Instead of generating free-form text, they return a decision over a predefined set of options. By construction, every output conforms to the required schema. Yet this guarantee does not tell us whether the model interprets the options as intended. We study Jev and two Jev-like models with open weights by changing how option names are assigned to rubrics. Each option consists of an option name and a textual rubric that defines what the option means. We change only which option name is assigned to each rubric; the question, state, rubric wording, and set of option names remain exactly the same. On 1200 workflow decisions with task-specific rubrics, renaming the two options from 0/1 to no/yes changes 70.4 more answers per hundred (95% CI: [67.6, 73.1]) and shifts AUC from .94 to .23, revealing a systematic reversal in the decision ranking rather than simple uncertainty. The same operation has little effect with neutral option names. This pattern holds across all 4 predicates, where the effect is at least 7.4x larger than under the neutral control, and becomes stronger as the number of options increases. The effect also depends on the read-out geometry: a second model family that mean-pools over the full option span flips 4.1x less often. The hosted model exhibits the same behavior: the swap changes AUC from .8146 to .5806 and produces 24x as many answer flips as its test-retest floor. In contrast, replacing the option names with random character strings returns all model families to the neutral-control regime without reducing accuracy. The failure therefore depends on the semantic polarity of the option names rather than on the renaming operation itself. Across all conditions, the type-error rate remains 0%, even when decision accuracy degrades substantially.","all:Jev; all:""decision model"" AND all:typed; all:""typed decision""; all:""decision model"" AND all:Jev; FORCE_INCLUDE",include,Mentions decision models and reports measurements
2609.27331v1,"JEV-Star: Fast, Low-Cost StarCraft II Control with Language-Model Planning",Weiyu Ma,Weiyu Ma; Liangbing Zhao; Yongcheng Zeng; Jian Zhao,2026-09-23T04:09:10Z,,"We present JEV-Star, a StarCraft II controller that defeats the strongest non-cheating built-in AI, Lv7, by combining fast JEV action selection with persistent GPT-6 planning. The combined system wins four full games at Lv5--Lv7, including two Lv7 victories with different seeds, while retaining a median JEV response time of 0.422 seconds. Mean estimated model cost across these games is USD~3.71 per game: USD~0.15 for JEV and USD~3.56 for GPT-6. We compare this system with an initial JEV-only controller in full-game macro control and multi-unit micromanagement. The standalone controller reaches a 20-minute limit against Lv2 without expanding. Across 35 battle maps with three episodes per map and controller, the combined system raises mean enemy elimination from 16.50\% to 37.69\% and wins from 3 to 7 out of 105. Replay frames and decision logs document resource reservation, persistent economic goals, and stable army objectives in successful full games. The results demonstrate a practical division between inexpensive, subsecond decisions and longer-horizon planning. The comparison evaluates complete systems; concurrent interface improvements mean that planning's contribution is not isolated by a controlled ablation. Code is available at https://github.com/sc2musa/Jev_Star",all:Jev; FORCE_INCLUDE,include,Mentions decision models and reports measurements
2609.27535v1,KITE: Scaling Jev Population Experiments with Sparse Flagship Calibration,Hengyu Li,Hengyu Li,2026-09-23T08:28:15Z,,"KITE queries a typed behavioral kernel once per unique state, then executes populations of any size from the table with event-keyed randomness and common random numbers. An expensive flagship model is reserved for sparse paired anchors that estimate intervention effects. Measured human-model discrepancy is propagated as shared error into every conclusion. Population-experiment cost thus scales with unique states and anchors, while uncertainty is governed by evidence about people rather than Monte Carlo noise. On Epstein experiments with 9,070 participants, anchors covering 1.7% of states reduced effect error by 41% (absolute MAE reduction 0.0125). On 37 held-out SocSci210 experiments, 0.5-1.5% anchor coverage raised captured decision gain from 0.27 to 0.39. The kernel passed content-fidelity criteria in all 15 new countries of a 16-country study. Shared discrepancy yielded retrospective coverage of 93% and 96% at nominal 80% and 90%, versus 29% and 36% from human sampling uncertainty alone. A million agents executed 20 tabulated steps in 0.9 seconds on a laptop. This architecture offers a route to screening candidate interventions before human trials, multi-country content audits, and uncertainty-aware policy comparison at the cost of a few thousand kernel calls with sparse flagship anchors. Property-specific evidence records connect each use to its validation scope, correction provenance, and uncertainty, making these applications auditable.",all:Jev,include,Mentions decision models and reports measurements
2609.27607v1,Can Jev Judge Radiology Reports? Evaluating a System One Model for Clinical Factuality,Jiaju Huang,Jiaju Huang; Hao Yang; Xinyu Ma; Xinglong Liang; Kunyan Cai; Junqiang Ma; Shaobin Chen; Yue Sun; Tao Tan,2026-09-23T09:26:46Z,,"An AI-generated radiology report can resemble a physician's report while omitting an abnormality, adding an unsupported finding, or reversing its presence. Measuring these factual differences is essential for evaluating report generators. We study Jev, a System One decision model, as a simple, low-cost judge of agreement with physician-written reference reports. Our evaluator checks whether each statement is supported by the other report and combines these judgments in both directions to capture unsupported claims and omissions. A single-question configuration reaches Kendall correlations of 0.573 on RadEvalX and 0.398 on RadEvalExpert with expert error counts, outperforming an open natural language inference judge under matched decomposition and aggregation. One support question per statement retains similar expert agreement to seven while using 43-45% fewer judgment input tokens. At the documented API price, judgments cost under three cents per hundred report pairs, excluding local decomposition. In a separate controlled-error test, Jev detects false negation with an AUROC of 0.977. Local RadMatch achieves stronger agreement on clinically significant errors in both expert datasets and on total errors in the shared RadEvalExpert subset. Finding-count and error-scope analyses show that benchmark agreement reflects report size and error definitions as well as medical error detection. These results support Jev as a practical judgment component for measuring factual differences in generated radiology reports and identify where more elaborate evaluation remains valuable.","all:Jev; all:""System One model""; all:""System One models""; all:""decision model"" AND all:Jev; FORCE_INCLUDE",include,Mentions decision models and reports measurements
2609.27678v1,"Same Scores, Different Decisions: Evaluating JEV and Language Models for Legal Document Understanding",Fan Zhang,Fan Zhang; Yankai Chen; Zhuohan Xie; Yixi Zhou; Sijia Peng; Lei Fan; Xinhua Ji; Cunyuan Zheng; Huangyong Shan; Philip S. Yu; Xue Liu; Yu Chen; Preslav Nakov; Songwei He,2026-09-23T10:53:01Z,,"Contract inference requires multiple judgments about a shared document, but aggregate accuracy can conceal changes in the individual decisions. Repeated agreement is also insufficient: a model may consistently return the wrong answer. In this paper, we compare Jev with nine language models on ContractNLI, evaluating inference cost, response time, average correctness, and correctness across repeated request conditions. Controlled comparisons vary hypothesis visibility, requested outputs, and output order while keeping the contract and target judgment fixed. Jev has the lowest cost and median response time among the evaluated configurations, while hosted language models achieve higher baseline accuracy. Rankings by baseline accuracy differ from rankings by correctness across every condition and repeat, although small differences in the latter do not establish a general stability advantage. Development diagnostics further reveal compensating corrections and regressions, as well as persistent errors. These findings motivate evaluating cost and response time alongside whether individual judgments remain correct as the request configuration changes. Code: https://github.com/ZF-Utokyo/Jev-Benchmark",all:Jev; FORCE_INCLUDE,include,Mentions decision models and reports measurements
2609.28182v1,Finite-Sample Probabilistic Safety Certification for AI-Based Grid-Edge Coordination,Yihong Zhou,Yihong Zhou; Hanbin Yang; Thomas Morstyn,2026-09-23T14:24:46Z,,"Coordinating large population of flexible grid-edge devices can alleviate the need for time-consuming and capital-intensive network upgrades, and AI-based control methods such as multi-agent reinforcement learning or imitation learning are promising in their real-time decision scalability. However, system operators still need an independent and rigorous way to decide whether a given AI system is safe enough for deployment. This paper develops a finite-sample probabilistic safety certification framework for black-box AI decision models in closed-loop grid operation. The central idea is to reduce the complete input--AI--grid evaluator workflow to a binary unsafe outcome under an operator-defined safety specification, and then use exact binomial inference to certify the corresponding unsafe operation probability. Given a set of held-out calibration scenarios, the framework returns the tightest one-sided upper certificate and an accept/reject deployment criterion that controls the probability of false safety certification. Because the certification is for the calibration distribution that may deviate from the future operation, we further combine the nominal certificate with physically interpretable sample-space adversarial attacks, a concept widely used in AI to investigate the fragility of AI models. Case studies on grid-edge flexibility coordination with 1{,}000-agent AI models (independent parameters) verify the finite-sample safety guarantee and the value of integrating adversarial attacks into a rolling-window training-certification-deployment flow.","all:""decision models"" AND all:calibration",exclude,"curator review: ""decision models"" in the control sense (grid-edge RL); no typed decision model"
2609.28940v1,Calibrated Decision Models for Autonomous Penetration-Testing Harnesses: JEV and Laya as System One Decision Layers for LLM-Driven Pentest Agents,Joas Antonio dos Santos Barbosa,Joas Antonio dos Santos Barbosa,2026-09-24T02:47:20Z,,"Autonomous penetration-testing harnesses use large language models (LLMs) for reconnaissance, exploitation, and reporting, but often rely on those same models to confirm findings, grade severity, and select agents. This can lead to false positives, inflated severity, and wasted compute. We examine how System One decision models, lightweight non-generative classifiers that return typed, calibrated verdicts, can support these decisions. We make five contributions. First, we define four decision points: finding adjudication, severity recalibration, agent pruning, and confirmation loops. Second, we present an exploratory NeuroSploit case study comparing one run with TypeSafe System One (Jev) and one without it against a web target containing 13 vulnerabilities. Differences in severity distribution, runtime, and grading by exposed data type motivate the architecture but do not establish statistical significance. Third, we review published specifications for Jev, Jev-Ultrafast, and the open-source Laya without assuming that results from other benchmarks transfer to penetration testing. Fourth, we discuss RLHF, RLAIF, RLCD, and RLHV as training approaches and their implications for trust in security decisions. Finally, we propose Rave, a domain-adapted System One model, and outline its training data, evaluation protocol, and potential effect on harness assurance.",decmodels (curl rerun),include,"reports measured differences for a Jev decision layer in a penetration-testing harness (exploratory, one run each; added by curl rerun)"
2609.29429v1,Just Ask Jev: Reinforcement Learning for Calibrated Decisions as a Zero-Shot Detector of AI Alignment Failures,Ruoqi Guo,Ruoqi Guo; Yi Liu; Gelei Deng; Yuekang Li; Lida Zhao; Yutao Wu; Simin Chen; Ying Zhang; Leo Yu Zhang,2026-09-24T11:49:30Z,,"Detectors of alignment failures screen deployed language models and score alignment benchmarks. Most are generative judges that spend a decoding pass on every criterion, and classifiers that read token probabilities, such as Llama Guard, still score one fixed label per call. Jev, a model trained with reinforcement learning for calibrated decisions (RLCD), answers many typed questions about one input with calibrated probabilities in a single call. Whether it detects alignment failures has not been measured. We present RLCDAlignBench, which benchmarks Jev on ten alignment failures: sycophancy, jailbreaks, deception, prompt injection, hallucination, privacy violation, social bias, reward hacking, concealing uncertainty, and power seeking. It spans 44 benchmarks and five target models, labelled by each benchmark's scorer and, on two, by humans. Many of these failures are relational, defined against a reference, such as the user's belief or an injected instruction, that the response alone does not reveal. Our key idea is therefore to vary what Jev is asked separately from what it sees: the question's wording and answer type on one side, the fields of the input on the other. A single generic question reaches a median AUROC of 0.886 zero-shot and beats supervised baselines on most benchmarks. Question wording matters little, while context matters more, mostly through fields that encode the label. Jev matches the reference scorer's agreement with human labels, surfaces label defects in existing benchmarks, and costs 63x less than LLM-judge scorers. Code and data: https://github.com/sumleo/RLCDAlignBench.",rlcd (curl rerun),include,reports measured detection quality for Jev on ten alignment-failure types across 44 benchmarks (added by the curl rerun of the RLCD/TypeSafe queries)
2609.25498v2,Universal Fractal Natural Language Decision Map: Real-Time Edge Triage Across Heterogeneous Domains,Volkan Dağlı,Volkan Dağlı; Zerrin Dağlı; Dağhan Dağlı,2026-09-21T23:57:31Z,,"Deploying Large Language Models for runtime operational triage incurs prohibitive latency (&gt;100-500 ms), high VRAM requirements (&gt;4-8 GB), and excessive energy dissipation. Extending Mandelbrot Fractal Neural Synthesis (Dagli et al., 2026), this paper presents the Universal Fractal Natural Language Decision Map, realized via the werr machine-native edge reflex runtime and the production answerr platform (https://answerr.me). Operating entirely without stored weight tensors (0 Bytes VRAM), the engine synthesizes deterministic decisions---noul (Boolean), choice (categorical), and score (ordinal)---by dynamically modulating 24-byte coordinate seeds along the chaotic boundary of the Mandelbrot set and evaluating multi-scale escape dynamics. Drawing inspiration from biological System-One reflex arcs, the engine introduces: (i) an Auto-Seed Router with domain projector Phi_D yielding a +28.8% accuracy gain over linear baselines; (ii) an Information-Theoretic Semantic Token Damping Filter (T_desc = 0.045) insulating against prompt injections (0.0% empirical bypass; 95% Wilson CI: [0.0%, 27.8%]) while pruning iterations by 45.8% (accelerating throughput 2.5x to 3.31 ms latency); (iii) a Multi-Scale Harmonic Tripod Fusion; (iv) a Coupled Margin Expansion Operator (Pitchfork Bifurcation Offset); and (v) a Cyclic Z/9Z Modular Resonant Grid Discretization based on the closed sub-ideal {0,3,6} (Lean 4 Mathlib ZMod 9), reducing FLOPs by 68.4%. Evaluated on JevBench (N=231), werr achieves 100.00% TypeSafe compliance and 81.65% calibrated accuracy with 7.08 ms median latency. We provide an OpenAI-compatible API and demonstrate deployment on 32-byte EVM smart contracts via the open-source werracle on-chain oracle (21,438 gas).",sysone_any (curl rerun),exclude,"engine returns deterministic decisions, not a probability distribution over declared options; outside the definition of a typed probabilistic decision model"
