study_key,arxiv_id_or_url,domain1_rating,domain1_reason,domain2_rating,domain2_reason,domain3_rating,domain3_reason,domain4_rating,domain4_reason,domain5_rating,domain5_reason,overall,evidence_role,notes
rafe2026calibrated,2609.24052,unclear,"Mixed: accuracy claims use three trained coders, double-coded, kappa 0.95-1.00 (low), but calibration and kappa headlines also use administrative CRIS coded fields (unclear); disputes were dropped, not adjudicated (3.3).",unclear,"n = 2,416 with cluster bootstrap intervals of unstated level, but a greedy non-probability draw stratified on the model's own probability, 137 PII withholdings and 49 excluded pairs (3.3; Conclusion).",unclear,"jev-1.13.0 pinned with the per-call identifier recorded (3.2), but no run date (only price access 2026-09-17); frontier arms named by alias.",unclear,"The schema was revised after error analysis of a Jev run on a 2,000-narrative development sample (Appendix A); frontier arms got the final text untuned but more context and compute (3.3).",low,Private state crash narratives under a data-use agreement; the reference set was newly drawn in 2026 (3.1).,some_concerns,independent_evaluation,"Survey authors' own paper, graded with the same rules. Group A: no ledger rows to cross-check. Per outcome: D1 low for the F1 0.908 accuracy claim."
ren2026openjev,2609.23959,unclear,Scenario-level designer ground truth on LLM-generated calls (administrative); auxiliary training labels from a MiniMax-M3 teacher (note Reference labels).,low,"577 decisions from 41 held-out scenarios; 2,000-resample bootstrap over scenarios with joint paired differences (4 Metrics; Appendix C).",unclear,"JevLite recipe fully specified but weights, hash and HF id are not released; judge named by alias; no run dates (note Code and data).",high,"The recipe was chosen from about ten variants scored on the test set ('selected with test-set exposure', Abstract; 4 Model selection) while the judge prompt was untuned.",low,Test calls newly generated for 41 scenarios never in training or validation (4 Data; Appendix B).,some_concerns,method_paper_with_evaluation,"Test-set recipe selection is graded in D4, not D5, because D5 asks only whether test items could be in training data (see rob_summary.md). The judge shares a model family with the call generator (a same-family advantage for the comparator)."
robitza2026jevqa,2609.24395,unclear,"Mixed: the Study A headline (PLCC 0.737 vs 0.733) is against VMAF, a computed full-reference proxy; Study B uses lab MOS from 24-29 raters (low) (III-A, III-B).",unclear,"n stated (1,936 and 562 PVS) on a full CRF ladder, but no intervals or significance tests reported (no interval in fulltext).",unclear,OpenRouter alias typesafe/jev-1.13 only; no run date (blog accessed 2026-09-19) (III-D).,high,"Input states were 'iteratively improved' over five versions in the author's own tests, and the headline uses S4, while comparators were trained with leave-one-source-out CV or are fixed standards (III-D, III-E).",unclear,"AOM CTC and AVT-VQDB-UHD-1 are public pre-2026, but the model sees derived feature tables, not the items (III-A, III-B).",some_concerns,independent_evaluation,"P.1204 was partly trained on AVT-VQDB-UHD-1, which favors the comparator in Study B (V-C). Sole-author industry paper, no stake in Jev."
sun2026typesafe,2609.26758,unclear,"The headline flip contrast needs no labels, but the AUROC inversion is keyed to 'the dataset's own' gold with undescribed provenance (3 Data).",unclear,"n = 1,200 (300 per predicate) with record-clustered bootstrap CIs, but the source corpus is not named and sampling is not described (3 Data).",high,No version string for any of the three models in the text; checkpoints are deferred to the harness and the hosted model was reached 'at one point in time' (footnote 2; 7).,low,Identical within-model instrument with neutral-name controls; nothing is tuned (3 The instrument).,unclear,Corpus provenance and exposure are not addressed; the marker head was trained on the two in-vocabulary name pairs (Table 1 note).,some_concerns,independent_evaluation,"The four predicates match the LocalLLaMA typed-decisions workflows, whose gold is LLM-teacher (probable lineage, not stated). Headline numbers are for the open marker head, not Jev (Jev effect 32.50% flips, 4.6). Group A: no ledger rows."
wu2026reflex,2609.26532,low,"Deterministic terminal-state assertions (two evaluator audits), BFCL answer keys and tau2-bench native reward are objective task outcomes (4).",low,"n stated per suite; paired cluster bootstrap with 10,000 resamples; preregistered RF-5C contrasts (4 Inference and multiplicity).",unclear,"Exact jev-1.13.0 (4 Models), but no run dates ('dated price snapshots' are not dated in the text); fallbacks named by alias.",unclear,"tau was swept over five values on the same 100 REFLEX-Sim tasks and 0.5 named primary; the text does not say whether it was fixed before the sweep, though all five thresholds are reported (4; Figure 2).",unclear,"Mixed: REFLEX-Sim is new and frozen (low), but external BFCL results in the headline are public pre-2026 (note Test-set exposure).",some_concerns,method_paper_with_evaluation,Code URL not resolved in the note. Ceiling effects for 2026 frontier fallbacks (Limitations).
yu2026visual,2609.25845,unclear,"Mixed gold: GQA answers are generated from scene graphs and SNLI-VE labels are transferred from text SNLI, the authors built the candidate sets (with a language prior, Table 1), and TextVQA/TallyQA are human.",low,"n stated, three seeds, cluster bootstrap over parent images, image-level train/test isolation (4; Limitations).",unclear,Backbone Qwen3-VL-4B/8B-Instruct named without a revision hash; own checkpoints not pinned; no run dates (no revision in fulltext).,low,"All arms share backbone, data, prompts, readout position and a 3,000-update budget (5.1).",high,"GQA, SNLI-VE, TextVQA and TallyQA are public 2019 benchmarks and the backbone's pretraining data are undisclosed (note Test-set exposure).",high,method_paper_with_evaluation,"Open Visual Jev, not TypeSafe's model. Exposure affects all arms alike because contrasts are within-backbone. Code URL not resolved."
zhang2026same,2609.27678,low,"ContractNLI's existing expert annotations, 'without new human labeling or model-based judging' (2).",low,"The full official test split (123 contracts, 2,091 judgments), a seeded 30-contract stability panel and a 5,000-resample contract bootstrap (3.1).",unclear,"Exact Jev 1.13.0 (3.2), but collection times differ and are not dated; only GPU price access 21 Sep 2026 (Limitations; Appendix C).",low,"'No test prompts or settings are selected from model performance' (3.2); reasoning levels differ, and three comparators were added post hoc with configurations fixed before their test predictions.",high,ContractNLI (2021) is public; 'an official held-out split does not establish absence from model training data' (Limitations).,high,independent_evaluation,Group A: no ledger rows to cross-check.
grey_archerhume_jev,https://archerhume.com/posts/jevs-architecture-unmasked/,low,"The MMLU answer key and computed answers for generated maths are objective, but the MMLU key has known item errors that cap the precision of the 0.031 ECE (note Reference labels).",unclear,"Wilson and paired-t intervals are given, but how the 1,200 MMLU items were sampled is not described and the '10,000 calls' headline does not reconcile with the itemized counts (note n; Seed claims).",low,"jev-1.13.0, investigated on 17 September 2026 with one account and one region (Methods).",low,Single-model probing with no competing system (note Comparators).,unclear,"Mixed: the ECE headline is on public pre-2026 MMLU (high), while the probes and fresh maths are newly constructed (low) (note Test-set exposure).",some_concerns,reverse_engineering,Architecture claims are inference and the author says so (note Limitations).
grey_bespoke_nimble,https://github.com/bespokelabsai/nimble ; https://huggingface.co/bespokelabs/Bespoke-Nimble-9B,unclear,"Mixed: the 324-item holdout has synthetic contrastive labels (high), while the 13 public subsets carry human gold (low) (README; PUBLIC_BENCHMARKS.md).",unclear,"n stated (324; 3,880 over 13 subsets), but no intervals on accuracy or ECE; a McNemar test is given only for the MASSIVE pair (note Robustness).",unclear,"Nimble pinned (93ec5d6 / original-2676) and Jev 1.13.0 named, but no Jev run date; the main checkpoint changed on 2026-09-24 (note revision change).",high,"Nimble is LoRA-trained for this contrastive task family with a post-hoc temperature, compared against Jev as shipped (note Comparators).",unclear,"Mixed: the 324 holdout is new, but the 13 subsets are public pre-2026, and the source flags that absolute accuracy may be inflated (PUBLIC_BENCHMARKS.md).",some_concerns,vendor_evaluation,"Developer self-report. Numbers belong to revision original-2676, not the current main checkpoint."
grey_kev,https://huggingface.co/jaredpalmer/kev-9b ; https://github.com/jaredpalmer/kev,unclear,Mixed: human gold from public datasets alongside programmatic rule-derived policy records (note Reference labels).,unclear,"n stated (1,204; 764); paired bootstraps between Kev trials, but no interval on the Kev-vs-Jev contrast, and Jev was not run on the locked test (README).",high,"Jev is unpinned ('live Jev' via /v1/systemone), with no version or date (note Decision models; Notes).",high,"Kev is LoRA-trained plus a delta fine-tune on decision-v7 with a fitted temperature, compared against zero-shot Jev on development partitions (note Comparators).",unclear,Mixed: the suites mix verbatim items from public pre-2026 datasets with new programmatic records (note Test-set exposure).,high,vendor_evaluation,"Independent developer self-report, classed as vendor_evaluation under the developer rule."
grey_laya,https://huggingface.co/convaiinnovations/laya ; https://huggingface.co/convaiinnovations/laya-multilingual,unclear,"Mixed: public human gold (MASSIVE, XNLI, AG News, Banking77) alongside LLM-teacher soft gold on typed-decisions (note Reference labels).",unclear,"Some n stated (17,416 questions; 2,000 decisions), others not; no intervals; the Jev rows come from other samples (card comparison table).",unclear,"Laya checkpoints named by repo only, with no revision; the Jev 1.13.0 figures are quoted, not run; no dates (note Decision models).",high,"Jev figures are 'third-party published, never measured here ... sample sizes and prompts differ'; laya-typed-decisions is fine-tuned on the benchmark's train split; Laya's ECE is post-temperature against raw Jev (card).",unclear,Mixed: public pre-2026 benchmarks alongside the newly generated typed-decisions set (note Test-set exposure).,some_concerns,vendor_evaluation,Developer self-report. There is a 0.342 vs 0.352 typo in the card.
grey_localllama_typed_decisions,https://huggingface.co/datasets/LocalLLaMA/typed-decisions,high,Soft gold is the mean of three samples from a roughly 4B teacher at temperature 0.7; the card says it 'does not measure correctness' (How it was built; Limitations).,unclear,"400 test cases / 2,000 decisions from a seed-separated generation run, but no intervals (note n).",unclear,"jev-1.13.0 (reported by model=jev-latest) measured 2026-09-18, but the second decision model, meraGPT Decider 1, is identified only as sd-1 / state-decider-1 with no build string (card Jev and Decider rows).",low,Jev and Decider 1 are both scored zero-shot under one protocol; the specialists are labelled non-comparable (note Comparators).,low,Synthetic scenarios generated in 2026 from latent skeletons (note Test-set exposure).,high,dataset_card,Likely the source of the Jev figures reused by grey_laya and the workflow family used by sun2026typesafe and grey_typesafe_evals.
grey_robbalian_rev,https://github.com/robbalian/rev,unclear,"Mixed: the 975-item holdout uses human gold from RACE, CosmosQA, MultiRC, Social IQa and ContractNLI (low), but the JevBench and Decision Index rows use those boards' own labels (unclear) (README).",unclear,"Mixed: the 975-item checksum-frozen holdout has 95% intervals of about 2 points (low), but the snake game (10 games) and external boards have no intervals (README).",unclear,Jev is the OpenRouter alias typesafe/jev-1.13; Rev weights are on HF without a stated revision; no run dates (README).,high,Rev is LoRA-trained on the train splits of the same five datasets against zero-shot Jev; JevBench misses were read to design synthetic data (README; Limitations).,unclear,"Mixed: public pre-2026 validation splits in the headline table (high), 2026 community boards (unclear) and a new snake game (low) (note Test-set exposure).",some_concerns,vendor_evaluation,"Independent developer self-report, classed as vendor_evaluation under the developer rule. The cache-buster is a parity fix for latency only."
grey_typesafe_evals,https://evals.typesafe.ai/,high,"Reference labels are the average of GPT-6 Astra and Claude Fable 5.1 answers ('Assume the harness is correct'), a model consensus (page).",high,"No item counts, sample sizes or intervals for any point (note n).",high,Jev version not printed and no dates (note Decision models).,unclear,"All models run at provider default reasoning in the same harness, but the decomposed workflow is the vendor's own design around Jev's primitives (note Comparators).",unclear,"Vendor-constructed workflows with no construction date, and the vendor controls Jev's training data (note Test-set exposure).",high,vendor_evaluation,First-party vendor evaluation. Same four workflows as LocalLLaMA typed-decisions.
grey_vercel_p95,https://x.com/rauchg/status/2100307962262872105 ; https://x.com/fazxes/status/2100300097695232164,unclear,No reference is stated for 'more accurate' and there is no latency protocol; nothing can be judged (note Reference labels).,high,"No n, task definition or protocol; '~5-18x' is a range quoted at its ceiling (note Cost and latency).",high,No version string for Jev (note Decision model).,unclear,The configuration of the gpt-5.6-luna comparator is not stated (note Task and data).,unclear,Unpublished internal data; exposure cannot be judged (note Assessment).,high,practitioner_report,Arguably fails the PROTOCOL inclusion rule (no protocol); it is graded only because it is in the ledger. The claim exists only in X posts.
guo2026just,2609.29429,unclear,"Mixed: pooled AUROC/ECE/F1 rows average rule-scored (20/44, objective outcome) and LLM-judge-scored (24/44, high) benchmark labels, while two headline comparisons use human-adjudicated labels, StrongREJECT and HarmBench validation (Table 1; 4.5).",low,"7,193 detection instances across 44 documented benchmarks, class-stratified reuse of existing splits, and 95% grouped-bootstrap CIs on every headline AUROC/kappa estimate (3.1, 3.4, 4.1-4.5).",unclear,"All runs pinned to jev-1.13.0, but the only date given is a 2026-09-20 documentation-access note on the jev-latest alias resolving to that build, not a stated run or collection date (Reproducibility Statement).",unclear,"The supervised TF-IDF baseline is trained by 5-fold cross-validation on the same in-domain evaluation labels Jev never sees, an asymmetric budget in the baseline's favor rather than Jev's, so parity is not matched even though the paper flags and controls for the asymmetry (3.4).",high,"All 44 benchmarks reuse existing public alignment datasets, StrongREJECT, HarmBench, MACHIAVELLI and similar, that predate the study, with no contamination check on label exposure (3.1, 6).",high,independent_evaluation,"Group D, late-sweep addition. No cross-check against a separate ledger group; graded from the study note and full text only. The split-half protocol for targeted-question selection is good D4 practice for Jev's own configuration, but does not offset the TF-IDF baseline's in-domain CV training noted above."
dossantos2026calibrated,2609.28940,unclear,"Seeded-vulnerability coverage is scored against a known ground truth, low, but severity-grade counts have no independent gold label at all, and the discussed ECE figures are each vendor's own label on its own undisclosed evaluation set, high (IX-B; VIII-B).",high,"One run per arm against a single target, no intervals anywhere, and the paper states this itself: the results are observations that motivate the architecture, not statistically powered experimental evidence (IX-A).",high,"The case study requests jev-latest with no patch-level build string, snapshot hash or run date recorded anywhere in the paper (Table V).",low,"Both arms use the identical harness, curator model, target and parameters; --typesafe is the sole variable (Table V caption; IX-A).",unclear,"NimbusCart's provenance and public exposure are undisclosed, and the author's own limitations flag possible memorization, partly-private targets are needed, with no contamination check performed (XV-A).",high,independent_evaluation,"Group D, late-sweep addition. Sole-author exploratory case study, n=1 run per arm; the paper is unusually explicit about its own lack of statistical power throughout (IX-A, IX-C, IX-G, XV-A). No Laya empirical run in this paper; Laya numbers are vendor-documentation citations only (XIII-C, Table IX)."
