record,study,cluster,model,task_family,raw_ece,recal_ece,stage,method,fit,binning,n,reference_type,role,subset,ledger_rows,value_keys,rob_overall,reason
ibrJevEmpathy,ibrahim2026evaluating,ibrahim2026evaluating,Jev (hosted),social-science annotation,0.5380,,raw,none,,equal-width 15 bins,,human_adjudicated,context,,L009,ibrahim2026evaluating.jevEmpathyECE,high,Ibrahim & Zaki per-task extreme (empathy)
ibrJevDialect,ibrahim2026evaluating,ibrahim2026evaluating,Jev (hosted),social-science annotation,0.0630,,raw,none,,equal-width 15 bins,266,human_adjudicated,context,,L012,ibrahim2026evaluating.jevDialectECE,high,Ibrahim & Zaki per-task extreme (Indian English dialect)
ibrJev14,ibrahim2026evaluating,ibrahim2026evaluating,Jev (hosted),social-science annotation,0.1630,,raw,none,,equal-width 15 bins,,human_adjudicated,context,,L025,ibrahim2026evaluating.jevMedianECEOn14TaskEcosystemSubset,high,Ibrahim & Zaki 14-task open-ecosystem subset (same study; not a second value)
ibrJevBin10,ibrahim2026evaluating,ibrahim2026evaluating,Jev (hosted),social-science annotation,0.1567,,raw,none,,equal-width 10 bins,15 evaluation tasks,human_adjudicated,context,sensitivity,L902,ibrahim2026evaluating.jevMedianECE10Bins,high,Ibrahim & Zaki binning sensitivity (10 equal-width bins)
ibrJevBin20,ibrahim2026evaluating,ibrahim2026evaluating,Jev (hosted),social-science annotation,0.1600,,raw,none,,equal-width 20 bins,15 evaluation tasks,human_adjudicated,context,sensitivity,L903,ibrahim2026evaluating.jevMedianECE20Bins,high,Ibrahim & Zaki binning sensitivity (20 equal-width bins)
ibrJevMass15,ibrahim2026evaluating,ibrahim2026evaluating,Jev (hosted),social-science annotation,0.1539,,raw,none,,equal-mass 15 bins,15 evaluation tasks,human_adjudicated,context,sensitivity,L901,ibrahim2026evaluating.jevMedianECEEqualMass,high,Ibrahim & Zaki binning sensitivity (15 equal-mass bins)
rafeFloor,rafe2026calibrated,rafe2026calibrated,Jev (hosted),document coding,0.0057,,bound,none,,exact discrete-grid (unbinned),150000,administrative_field,context,,L094,rafe2026calibrated.resolutionFloorBoundMaxPhoneUse,some_concerns,Rafe & Das resolution-floor bound on attainable ECE from the two-decimal grid (maximum over variables); a bound not an estimate
guoJevMedianPerBenchmark,guo2026just,guo2026just,Jev (hosted),safety,0.1680,,raw,none,,not specified,7193,llm_teacher,estimate,primary,L608,guo2026just.jevMedianPerBenchmarkEce,high,Guo et al. RLCDAlignBench generic Noul; median per-benchmark ECE over 31 benchmarks; same estimand as Ibrahim & Zaki (median over tasks); binning not named; labels mix rule scorers and LLM judges
guoJevPooled,guo2026just,guo2026just,Jev (hosted),safety,0.0470,,raw,none,,not specified,7193,llm_teacher,context,,L607,guo2026just.jevPooledEce,high,Guo et al. pooled ECE over the same 31 benchmarks; within-study contrast with the per-benchmark median (a different estimand; not a second study value)
guoJevNull,guo2026just,guo2026just,Jev (hosted),safety,0.0740,,null,none,,not specified,7193,llm_teacher,context,,L608,guo2026just.jevMedianPerBenchmarkEce,high,Guo et al. median per-benchmark ECE expected under perfect calibration (simulation null); finite-sample floor of the per-benchmark estimand
kevOod,grey_kev,grey_kev,"Kev-9B (served, T=2.30)",classification,0.1060,0.0420,raw,temperature,transferred (in-distribution to out-of-domain),not specified,764,human_adjudicated,estimate,primary,L477,greyKev.kev9bOodEce,high,Kev-9B out-of-domain; raw logits vs served temperature T=2.30 fitted on in-distribution rows (transferred fit)
kevScienthoon,grey_kev,grey_kev,Kev-9B (pre-delta),other (third-party external suite),0.1130,,raw,none,,not specified,900,human_adjudicated,context,,L485,greyKev.scienthoonEceComparison,high,Kev-9B on scienthoon's tickets after the delta fine-tune; stage of calibration not stated
layaEn,grey_laya,grey_laya,laya (English),classification,0.4660,0.0810,raw,temperature,in-domain (held-out refit per question type),not specified,not reported,human_adjudicated,estimate,primary,L470,greyLaya.layaEnglishPostTempEce,some_concerns,Laya English internal calibration evaluation; one temperature per question type and option count refit on held-out data (in-domain fit)
layaMulti,grey_laya,grey_laya,laya-multilingual,classification,0.3140,0.1060,raw,temperature,in-domain (held-out refit per question type),not specified,not reported,human_adjudicated,estimate,primary,L471,greyLaya.layaMultilingualPostTempEce,some_concerns,laya-multilingual internal calibration evaluation; in-domain temperature refit
layaTd,grey_laya,grey_laya,laya (English),classification,0.2130,,raw,none,,not specified,2000,llm_teacher,context,,L469,greyLaya.layaRawEce,some_concerns,Laya English as shipped on typed-decisions (LLM-teacher gold)
nimble300,grey_bespoke_nimble,grey_bespoke_nimble,"Bespoke-Nimble-9B (T=1, uncalibrated)",classification,0.1280,0.0660,raw,temperature,unstated,not specified,300,human_adjudicated,estimate,primary,L457,greyBespokeNimble.nimbleSecondSetEceTempScaled,some_concerns,Nimble second set (300); temperature 2.179 (revision original-2676)
nimble324,grey_bespoke_nimble,grey_bespoke_nimble,"Bespoke-Nimble-9B (T=1, uncalibrated)",classification,0.0520,0.0540,raw,temperature,unstated,not specified,324,synthetic,estimate,primary,L458,greyBespokeNimble.nimble324EceTempScaled,some_concerns,Nimble 324-item holdout; the same temperature leaves ECE essentially unchanged (contradicted_claims 11)
nimbleBoolq,grey_bespoke_nimble,grey_bespoke_nimble,Bespoke-Nimble-9B,classification,0.1090,,raw,none,,not specified,300,human_adjudicated,context,,L463,greyBespokeNimble.boolqEceComparison,some_concerns,Nimble on boolq at T=1.0
jevLite,ren2026openjev,ren2026openjev,JevLite (3-seed ensemble),safety,,0.0520,recal,temperature,in-domain (validation split),equal-width (bins not stated),577,administrative_field,estimate,primary,L237,ren2026openjev.jevLiteEceEnsemble,some_concerns,JevLite 3-seed ensemble; ECE reported after temperature fit on validation; raw not reported
decider08,ibrahim2026evaluating,ibrahim2026evaluating,decider-0.8b,social-science annotation,0.0810,,raw,none,,equal-width 15 bins,,human_adjudicated,estimate,primary,L024,ibrahim2026evaluating.decider08bMedianECE,high,decider-0.8b median ECE on the 14-task open-ecosystem grid (independent measurement)
rlcd06,ibrahim2026evaluating,ibrahim2026evaluating,Qwen3-0.6B-RLCD,social-science annotation,0.1283,0.1234,raw,temperature,transferred (pilot tasks to evaluation tasks),equal-width 15 bins,15 evaluation tasks,human_adjudicated,estimate,primary,L904,ibrahim2026evaluating.Qwen306BRLCDMedianECETempScaled,high,Qwen3-0.6B-RLCD median ECE before and after pilot-task temperature (transferred fit)
deciderOne,grey_localllama_typed_decisions,grey_localllama_typed_decisions,meraGPT Decider 1,classification,0.1800,,raw,none,,not specified,2000,llm_teacher,context,,L515,greyLocalllamaTypedDecisions.jevEce,high,meraGPT Decider 1 (proprietary hosted decision model) on typed-decisions
localllamaPrior,grey_localllama_typed_decisions,grey_localllama_typed_decisions,Prior (reference baseline),classification,0.0880,,raw,none,,not specified,2000,llm_teacher,context,,L933,greyLocalllamaTypedDecisions.priorBaselineEce,high,"LocalLLaMA know-nothing Prior (label frequencies from train); lowest ECE on the card, showing ECE alone can reward a model with no information"
