claim_id,claim,vendor_value,vendor_source,study,cluster,measurement,measurement_key,independent,direction,rule,rob_overall,rob_for_claim,evidence_role,ledger_rows
cost,Cheaper than frontier LLMs,444.6x cheaper (homepage),vendor_facts.json: launch_cost_claim (ts_homepage),grey_typesafe_evals,grey_typesafe_evals,"290x (vendor's own evals, Claude Sonnet 5)",syn.costRatioVendorEvalsCost,no,mixed,supported if ratio >= 444.6; mixed if 1 < ratio < 444.6; contradicted if <= 1,high,high,vendor_evaluation,L503;L502
types,No type errors,The model never makes type errors,vendor_facts.json: type_error_claim (ts_launch_blog),sun2026typesafe,sun2026typesafe,0 (type_error_rate_percent),sun2026typesafe.typeErrorRatePercent,yes,supported,supported if zero type errors or invalid answers,some_concerns,some_concerns,independent_evaluation,L044
types,No type errors,The model never makes type errors,vendor_facts.json: type_error_claim (ts_launch_blog),ibrahim2026evaluating,ibrahim2026evaluating,0 (invalid_answer_count),ibrahim2026evaluating.jevZeroInvalidAnswers,yes,supported,supported if zero type errors or invalid answers,high,high,independent_evaluation,L026
halluc,Cannot hallucinate,can't hallucinate; Our number is not empirical,vendor_facts.json: hallucination_claim (ts_launch_blog),grey_kev,grey_kev,3.7% of out-of-domain decisions at p>=0.9 are wrong,syn.r2CbwKevJevConfErr,yes,contradicted,vendor states the figure is non-empirical; contradicted as ordinarily read if wrong answers occur at high confidence,high,high,vendor_evaluation,L480
halluc,Cannot hallucinate,can't hallucinate; Our number is not empirical,vendor_facts.json: hallucination_claim (ts_launch_blog),ibrahim2026evaluating,ibrahim2026evaluating,accuracy 0.383 at confidence >= 0.9 vs base rate 0.371 (empathy),ibrahim2026evaluating.jevEmpathyAccAtConf90,yes,contradicted,vendor states the figure is non-empirical; contradicted as ordinarily read if wrong answers occur at high confidence,high,high,independent_evaluation,L008
calib,Calibrated probabilities,All answers are accompanied with calibrated probabilities and confidence scores,vendor_facts.json: type_error_claim excerpt (ts_launch_blog); RLCD per rlcd_description,ibrahim2026evaluating,ibrahim2026evaluating,"ECE 0.157; 16 of 19 LLMs higher, 3 lower",ibrahim2026evaluating.jevMedianECE,yes,mixed,supported if Jev ECE is below every reported comparator in the study; contradicted if above all; mixed otherwise,high,high,independent_evaluation,L006;L900
calib,Calibrated probabilities,All answers are accompanied with calibrated probabilities and confidence scores,vendor_facts.json: type_error_claim excerpt (ts_launch_blog); RLCD per rlcd_description,ibrahim2026evaluating,ibrahim2026evaluating,"after the same temperature fit, 15 of 19 LLMs below Jev",syn.r2LlmBelowJevAfter,yes,mixed,supported if Jev ECE is below every reported comparator in the study; contradicted if above all; mixed otherwise,high,high,independent_evaluation,L006;L900
calib,Calibrated probabilities,All answers are accompanied with calibrated probabilities and confidence scores,vendor_facts.json: type_error_claim excerpt (ts_launch_blog); RLCD per rlcd_description,rafe2026calibrated,rafe2026calibrated,Jev ECE 0.023 vs Claude Fable 5.1 0.028,rafe2026calibrated.jevPooledEceRaw,yes,supported,supported if Jev ECE is below every reported comparator in the study; contradicted if above all; mixed otherwise,some_concerns,some_concerns,independent_evaluation,L079;L080
calib,Calibrated probabilities,All answers are accompanied with calibrated probabilities and confidence scores,vendor_facts.json: type_error_claim excerpt (ts_launch_blog); RLCD per rlcd_description,grey_localllama_typed_decisions,grey_localllama_typed_decisions,"Jev ECE 0.144 vs meraGPT Decider 1 0.180, Prior (knows nothing) 0.088",greyLocalllamaTypedDecisions.jevEce,yes,mixed,supported if Jev ECE is below every reported comparator in the study; contradicted if above all; mixed otherwise,high,high,dataset_card,L515
calib,Calibrated probabilities,All answers are accompanied with calibrated probabilities and confidence scores,vendor_facts.json: type_error_claim excerpt (ts_launch_blog); RLCD per rlcd_description,grey_kev,grey_kev,"Jev ECE 0.049 vs Kev-9B served 0.042, Kev-9B raw 0.106",greyKev.kev9bOodEce,yes,mixed,supported if Jev ECE is below every reported comparator in the study; contradicted if above all; mixed otherwise,high,high,vendor_evaluation,L477
calib,Calibrated probabilities,All answers are accompanied with calibrated probabilities and confidence scores,vendor_facts.json: type_error_claim excerpt (ts_launch_blog); RLCD per rlcd_description,grey_kev,grey_kev,Jev ECE 0.105 vs Kev-9B 0.113,greyKev.scienthoonEceComparison,yes,supported,supported if Jev ECE is below every reported comparator in the study; contradicted if above all; mixed otherwise,high,high,vendor_evaluation,L485
calib,Calibrated probabilities,All answers are accompanied with calibrated probabilities and confidence scores,vendor_facts.json: type_error_claim excerpt (ts_launch_blog); RLCD per rlcd_description,grey_bespoke_nimble,grey_bespoke_nimble,Jev ECE 0.038 vs Nimble-9B 0.109,greyBespokeNimble.boolqEceComparison,yes,supported,supported if Jev ECE is below every reported comparator in the study; contradicted if above all; mixed otherwise,some_concerns,some_concerns,vendor_evaluation,L463
calib,Calibrated probabilities,All answers are accompanied with calibrated probabilities and confidence scores,vendor_facts.json: type_error_claim excerpt (ts_launch_blog); RLCD per rlcd_description,ibrahim2026evaluating,ibrahim2026evaluating,ECE 0.538 on one task (empathy),ibrahim2026evaluating.jevEmpathyECE,yes,contradicted,"per-task record: confidence uninformative (accuracy at >=0.9 near the base rate, ledger L008)",high,high,independent_evaluation,L009
pareto,"Owns the Pareto frontier of quality, cost and time",Jev is off the charts – owning the Pareto frontier for almost 2 orders of magnitude.,shared/references/web/ts_launch_blog.md,li2026jevasajudge,li2026jevasajudge,Jev minus comparator -3.0 pts; cost ratio 280; latency ratio 12,syn.costRatioLiJudgeCost,yes,mixed,"contradicted if a comparator is at least as accurate, no more expensive and no slower (one strictly); mixed if not dominated but less accurate; supported if not dominated and at least as accurate; quality, cost and latency taken from the same workload of each study (li2026fast: cloud block)",high,high,independent_evaluation,L059
pareto,"Owns the Pareto frontier of quality, cost and time",Jev is off the charts – owning the Pareto frontier for almost 2 orders of magnitude.,shared/references/web/ts_launch_blog.md,zhang2026same,zhang2026same,Jev minus comparator -5.8 pts; cost ratio 37; latency ratio 3.0,syn.costRatioZhangCost,yes,mixed,"contradicted if a comparator is at least as accurate, no more expensive and no slower (one strictly); mixed if not dominated but less accurate; supported if not dominated and at least as accurate; quality, cost and latency taken from the same workload of each study (li2026fast: cloud block)",high,high,independent_evaluation,L101;L098
pareto,"Owns the Pareto frontier of quality, cost and time",Jev is off the charts – owning the Pareto frontier for almost 2 orders of magnitude.,shared/references/web/ts_launch_blog.md,deng2026jev,deng2026jev,Jev minus comparator 0.0 pts; cost ratio 51; latency ratio 4.1,syn.costRatioDengCost,yes,supported,"contradicted if a comparator is at least as accurate, no more expensive and no slower (one strictly); mixed if not dominated but less accurate; supported if not dominated and at least as accurate; quality, cost and latency taken from the same workload of each study (li2026fast: cloud block)",some_concerns,some_concerns,independent_evaluation,L405
pareto,"Owns the Pareto frontier of quality, cost and time",Jev is off the charts – owning the Pareto frontier for almost 2 orders of magnitude.,shared/references/web/ts_launch_blog.md,li2026fast,li2026fast+li2026replacing,Jev minus comparator 3.5 pts; cost ratio 0.59; latency ratio 1.3,syn.costRatioLiFastCost,yes,supported,"contradicted if a comparator is at least as accurate, no more expensive and no slower (one strictly); mixed if not dominated but less accurate; supported if not dominated and at least as accurate; quality, cost and latency taken from the same workload of each study (li2026fast: cloud block)",some_concerns,some_concerns,method_paper_with_evaluation,L223
pareto,"Owns the Pareto frontier of quality, cost and time",Jev is off the charts – owning the Pareto frontier for almost 2 orders of magnitude.,shared/references/web/ts_launch_blog.md,grey_robbalian_rev,grey_robbalian_rev,Jev minus comparator -2.7 pts; cost ratio 0.60; latency ratio 0.26,syn.costRatioRevCost,no (developer self-report),contradicted,"contradicted if a comparator is at least as accurate, no more expensive and no slower (one strictly); mixed if not dominated but less accurate; supported if not dominated and at least as accurate; quality, cost and latency taken from the same workload of each study (li2026fast: cloud block)",some_concerns,some_concerns,vendor_evaluation,L494;L496
pareto,"Owns the Pareto frontier of quality, cost and time",Jev is off the charts – owning the Pareto frontier for almost 2 orders of magnitude.,shared/references/web/ts_launch_blog.md,ibrahim2026evaluating,ibrahim2026evaluating,Jev minus comparator -11.6 pts; cost ratio 44; latency ratio n/a,syn.costRatioIbrCost,yes,mixed,"contradicted if a comparator is at least as accurate, no more expensive and no slower (one strictly); mixed if not dominated but less accurate; supported if not dominated and at least as accurate; quality, cost and latency taken from the same workload of each study (li2026fast: cloud block)",high,high,independent_evaluation,L005
